DateId,Date,Day,DayName,DayOfWeek,WeekOfYear,Month,MonthName,Quarter,Year,IsWeekend,FinancialYear
20150428,2015-04-28,28,Tuesday,2,18,4,April,Q2,2015,No,FY2015-16
20150429,2015-04-29,29,Wednesday,3,18,4,April,Q2,2015,No,FY2015-16
20150430,2015-04-30,30,Thursday,4,18,4,April,Q2,2015,No,FY2015-16
20150501,2015-05-01,1,Friday,5,18,5,May,Q2,2015,No,FY2015-16
20150502,2015-05-02,2,Saturday,6,18,5,May,Q2,2015,Yes,FY2015-16
20150503,2015-05-03,3,Sunday,7,18,5,May,Q2,2015,Yes,FY2015-16
20150504,2015-05-04,4,Monday,1,19,5,May,Q2,2015,No,FY2015-16
20150505,2015-05-05,5,Tuesday,2,19,5,May,Q2,2015,No,FY2015-16
20150506,2015-05-06,6,Wednesday,3,19,5,May,Q2,2015,No,FY2015-16
20150507,2015-05-07,7,Thursday,4,19,5,May,Q2,2015,No,FY2015-16
20150508,2015-05-08,8,Friday,5,19,5,May,Q2,2015,No,FY2015-16
20150509,2015-05-09,9,Saturday,6,19,5,May,Q2,2015,Yes,FY2015-16
20150510,2015-05-10,10,Sunday,7,19,5,May,Q2,2015,Yes,FY2015-16
20150511,2015-05-11,11,Monday,1,20,5,May,Q2,2015,No,FY2015-16
20150512,2015-05-12,12,Tuesday,2,20,5,May,Q2,2015,No,FY2015-16
20150513,2015-05-13,13,Wednesday,3,20,5,May,Q2,2015,No,FY2015-16
20150514,2015-05-14,14,Thursday,4,20,5,May,Q2,2015,No,FY2015-16
20150515,2015-05-15,15,Friday,5,20,5,May,Q2,2015,No,FY2015-16
20150516,2015-05-16,16,Saturday,6,20,5,May,Q2,2015,Yes,FY2015-16
20150517,2015-05-17,17,Sunday,7,20,5,May,Q2,2015,Yes,FY2015-16
20150518,2015-05-18,18,Monday,1,21,5,May,Q2,2015,No,FY2015-16
20150519,2015-05-19,19,Tuesday,2,21,5,May,Q2,2015,No,FY2015-16
20150520,2015-05-20,20,Wednesday,3,21,5,May,Q2,2015,No,FY2015-16
20150521,2015-05-21,21,Thursday,4,21,5,May,Q2,2015,No,FY2015-16
20150522,2015-05-22,22,Friday,5,21,5,May,Q2,2015,No,FY2015-16
20150523,2015-05-23,23,Saturday,6,21,5,May,Q2,2015,Yes,FY2015-16
20150524,2015-05-24,24,Sunday,7,21,5,May,Q2,2015,Yes,FY2015-16
20150525,2015-05-25,25,Monday,1,22,5,May,Q2,2015,No,FY2015-16
20150526,2015-05-26,26,Tuesday,2,22,5,May,Q2,2015,No,FY2015-16
20150527,2015-05-27,27,Wednesday,3,22,5,May,Q2,2015,No,FY2015-16
20150528,2015-05-28,28,Thursday,4,22,5,May,Q2,2015,No,FY2015-16
20150529,2015-05-29,29,Friday,5,22,5,May,Q2,2015,No,FY2015-16
20150530,2015-05-30,30,Saturday,6,22,5,May,Q2,2015,Yes,FY2015-16
20150531,2015-05-31,31,Sunday,7,22,5,May,Q2,2015,Yes,FY2015-16
20150601,2015-06-01,1,Monday,1,23,6,June,Q2,2015,No,FY2015-16
20150602,2015-06-02,2,Tuesday,2,23,6,June,Q2,2015,No,FY2015-16
20150603,2015-06-03,3,Wednesday,3,23,6,June,Q2,2015,No,FY2015-16
20150604,2015-06-04,4,Thursday,4,23,6,June,Q2,2015,No,FY2015-16
20150605,2015-06-05,5,Friday,5,23,6,June,Q2,2015,No,FY2015-16
20150606,2015-06-06,6,Saturday,6,23,6,June,Q2,2015,Yes,FY2015-16
20150607,2015-06-07,7,Sunday,7,23,6,June,Q2,2015,Yes,FY2015-16
20150608,2015-06-08,8,Monday,1,24,6,June,Q2,2015,No,FY2015-16
20150609,2015-06-09,9,Tuesday,2,24,6,June,Q2,2015,No,FY2015-16
20150610,2015-06-10,10,Wednesday,3,24,6,June,Q2,2015,No,FY2015-16
20150611,2015-06-11,11,Thursday,4,24,6,June,Q2,2015,No,FY2015-16
20150612,2015-06-12,12,Friday,5,24,6,June,Q2,2015,No,FY2015-16
20150613,2015-06-13,13,Saturday,6,24,6,June,Q2,2015,Yes,FY2015-16
20150614,2015-06-14,14,Sunday,7,24,6,June,Q2,2015,Yes,FY2015-16
20150615,2015-06-15,15,Monday,1,25,6,June,Q2,2015,No,FY2015-16
20150616,2015-06-16,16,Tuesday,2,25,6,June,Q2,2015,No,FY2015-16
20150617,2015-06-17,17,Wednesday,3,25,6,June,Q2,2015,No,FY2015-16
20150618,2015-06-18,18,Thursday,4,25,6,June,Q2,2015,No,FY2015-16
20150619,2015-06-19,19,Friday,5,25,6,June,Q2,2015,No,FY2015-16
20150620,2015-06-20,20,Saturday,6,25,6,June,Q2,2015,Yes,FY2015-16
20150621,2015-06-21,21,Sunday,7,25,6,June,Q2,2015,Yes,FY2015-16
20150622,2015-06-22,22,Monday,1,26,6,June,Q2,2015,No,FY2015-16
20150623,2015-06-23,23,Tuesday,2,26,6,June,Q2,2015,No,FY2015-16
20150624,2015-06-24,24,Wednesday,3,26,6,June,Q2,2015,No,FY2015-16
20150625,2015-06-25,25,Thursday,4,26,6,June,Q2,2015,No,FY2015-16
20150626,2015-06-26,26,Friday,5,26,6,June,Q2,2015,No,FY2015-16
20150627,2015-06-27,27,Saturday,6,26,6,June,Q2,2015,Yes,FY2015-16
20150628,2015-06-28,28,Sunday,7,26,6,June,Q2,2015,Yes,FY2015-16
20150629,2015-06-29,29,Monday,1,27,6,June,Q2,2015,No,FY2015-16
20150630,2015-06-30,30,Tuesday,2,27,6,June,Q2,2015,No,FY2015-16
20150701,2015-07-01,1,Wednesday,3,27,7,July,Q3,2015,No,FY2015-16
20150702,2015-07-02,2,Thursday,4,27,7,July,Q3,2015,No,FY2015-16
20150703,2015-07-03,3,Friday,5,27,7,July,Q3,2015,No,FY2015-16
20150704,2015-07-04,4,Saturday,6,27,7,July,Q3,2015,Yes,FY2015-16
20150705,2015-07-05,5,Sunday,7,27,7,July,Q3,2015,Yes,FY2015-16
20150706,2015-07-06,6,Monday,1,28,7,July,Q3,2015,No,FY2015-16
20150707,2015-07-07,7,Tuesday,2,28,7,July,Q3,2015,No,FY2015-16
20150708,2015-07-08,8,Wednesday,3,28,7,July,Q3,2015,No,FY2015-16
20150709,2015-07-09,9,Thursday,4,28,7,July,Q3,2015,No,FY2015-16
20150710,2015-07-10,10,Friday,5,28,7,July,Q3,2015,No,FY2015-16
20150711,2015-07-11,11,Saturday,6,28,7,July,Q3,2015,Yes,FY2015-16
20150712,2015-07-12,12,Sunday,7,28,7,July,Q3,2015,Yes,FY2015-16
20150713,2015-07-13,13,Monday,1,29,7,July,Q3,2015,No,FY2015-16
20150714,2015-07-14,14,Tuesday,2,29,7,July,Q3,2015,No,FY2015-16
20150715,2015-07-15,15,Wednesday,3,29,7,July,Q3,2015,No,FY2015-16
20150716,2015-07-16,16,Thursday,4,29,7,July,Q3,2015,No,FY2015-16
20150717,2015-07-17,17,Friday,5,29,7,July,Q3,2015,No,FY2015-16
20150718,2015-07-18,18,Saturday,6,29,7,July,Q3,2015,Yes,FY2015-16
20150719,2015-07-19,19,Sunday,7,29,7,July,Q3,2015,Yes,FY2015-16
20150720,2015-07-20,20,Monday,1,30,7,July,Q3,2015,No,FY2015-16
20150721,2015-07-21,21,Tuesday,2,30,7,July,Q3,2015,No,FY2015-16
20150722,2015-07-22,22,Wednesday,3,30,7,July,Q3,2015,No,FY2015-16
20150723,2015-07-23,23,Thursday,4,30,7,July,Q3,2015,No,FY2015-16
20150724,2015-07-24,24,Friday,5,30,7,July,Q3,2015,No,FY2015-16
20150725,2015-07-25,25,Saturday,6,30,7,July,Q3,2015,Yes,FY2015-16
20150726,2015-07-26,26,Sunday,7,30,7,July,Q3,2015,Yes,FY2015-16
20150727,2015-07-27,27,Monday,1,31,7,July,Q3,2015,No,FY2015-16
20150728,2015-07-28,28,Tuesday,2,31,7,July,Q3,2015,No,FY2015-16
20150729,2015-07-29,29,Wednesday,3,31,7,July,Q3,2015,No,FY2015-16
20150730,2015-07-30,30,Thursday,4,31,7,July,Q3,2015,No,FY2015-16
20150731,2015-07-31,31,Friday,5,31,7,July,Q3,2015,No,FY2015-16
20150801,2015-08-01,1,Saturday,6,31,8,August,Q3,2015,Yes,FY2015-16
20150802,2015-08-02,2,Sunday,7,31,8,August,Q3,2015,Yes,FY2015-16
20150803,2015-08-03,3,Monday,1,32,8,August,Q3,2015,No,FY2015-16
20150804,2015-08-04,4,Tuesday,2,32,8,August,Q3,2015,No,FY2015-16
20150805,2015-08-05,5,Wednesday,3,32,8,August,Q3,2015,No,FY2015-16
20150806,2015-08-06,6,Thursday,4,32,8,August,Q3,2015,No,FY2015-16
20150807,2015-08-07,7,Friday,5,32,8,August,Q3,2015,No,FY2015-16
20150808,2015-08-08,8,Saturday,6,32,8,August,Q3,2015,Yes,FY2015-16
20150809,2015-08-09,9,Sunday,7,32,8,August,Q3,2015,Yes,FY2015-16
20150810,2015-08-10,10,Monday,1,33,8,August,Q3,2015,No,FY2015-16
20150811,2015-08-11,11,Tuesday,2,33,8,August,Q3,2015,No,FY2015-16
20150812,2015-08-12,12,Wednesday,3,33,8,August,Q3,2015,No,FY2015-16
20150813,2015-08-13,13,Thursday,4,33,8,August,Q3,2015,No,FY2015-16
20150814,2015-08-14,14,Friday,5,33,8,August,Q3,2015,No,FY2015-16
20150815,2015-08-15,15,Saturday,6,33,8,August,Q3,2015,Yes,FY2015-16
20150816,2015-08-16,16,Sunday,7,33,8,August,Q3,2015,Yes,FY2015-16
20150817,2015-08-17,17,Monday,1,34,8,August,Q3,2015,No,FY2015-16
20150818,2015-08-18,18,Tuesday,2,34,8,August,Q3,2015,No,FY2015-16
20150819,2015-08-19,19,Wednesday,3,34,8,August,Q3,2015,No,FY2015-16
20150820,2015-08-20,20,Thursday,4,34,8,August,Q3,2015,No,FY2015-16
20150821,2015-08-21,21,Friday,5,34,8,August,Q3,2015,No,FY2015-16
20150822,2015-08-22,22,Saturday,6,34,8,August,Q3,2015,Yes,FY2015-16
20150823,2015-08-23,23,Sunday,7,34,8,August,Q3,2015,Yes,FY2015-16
20150824,2015-08-24,24,Monday,1,35,8,August,Q3,2015,No,FY2015-16
20150825,2015-08-25,25,Tuesday,2,35,8,August,Q3,2015,No,FY2015-16
20150826,2015-08-26,26,Wednesday,3,35,8,August,Q3,2015,No,FY2015-16
20150827,2015-08-27,27,Thursday,4,35,8,August,Q3,2015,No,FY2015-16
20150828,2015-08-28,28,Friday,5,35,8,August,Q3,2015,No,FY2015-16
20150829,2015-08-29,29,Saturday,6,35,8,August,Q3,2015,Yes,FY2015-16
20150830,2015-08-30,30,Sunday,7,35,8,August,Q3,2015,Yes,FY2015-16
20150831,2015-08-31,31,Monday,1,36,8,August,Q3,2015,No,FY2015-16
20150901,2015-09-01,1,Tuesday,2,36,9,September,Q3,2015,No,FY2015-16
20150902,2015-09-02,2,Wednesday,3,36,9,September,Q3,2015,No,FY2015-16
20150903,2015-09-03,3,Thursday,4,36,9,September,Q3,2015,No,FY2015-16
20150904,2015-09-04,4,Friday,5,36,9,September,Q3,2015,No,FY2015-16
20150905,2015-09-05,5,Saturday,6,36,9,September,Q3,2015,Yes,FY2015-16
20150906,2015-09-06,6,Sunday,7,36,9,September,Q3,2015,Yes,FY2015-16
20150907,2015-09-07,7,Monday,1,37,9,September,Q3,2015,No,FY2015-16
20150908,2015-09-08,8,Tuesday,2,37,9,September,Q3,2015,No,FY2015-16
20150909,2015-09-09,9,Wednesday,3,37,9,September,Q3,2015,No,FY2015-16
20150910,2015-09-10,10,Thursday,4,37,9,September,Q3,2015,No,FY2015-16
20150911,2015-09-11,11,Friday,5,37,9,September,Q3,2015,No,FY2015-16
20150912,2015-09-12,12,Saturday,6,37,9,September,Q3,2015,Yes,FY2015-16
20150913,2015-09-13,13,Sunday,7,37,9,September,Q3,2015,Yes,FY2015-16
20150914,2015-09-14,14,Monday,1,38,9,September,Q3,2015,No,FY2015-16
20150915,2015-09-15,15,Tuesday,2,38,9,September,Q3,2015,No,FY2015-16
20150916,2015-09-16,16,Wednesday,3,38,9,September,Q3,2015,No,FY2015-16
20150917,2015-09-17,17,Thursday,4,38,9,September,Q3,2015,No,FY2015-16
20150918,2015-09-18,18,Friday,5,38,9,September,Q3,2015,No,FY2015-16
20150919,2015-09-19,19,Saturday,6,38,9,September,Q3,2015,Yes,FY2015-16
20150920,2015-09-20,20,Sunday,7,38,9,September,Q3,2015,Yes,FY2015-16
20150921,2015-09-21,21,Monday,1,39,9,September,Q3,2015,No,FY2015-16
20150922,2015-09-22,22,Tuesday,2,39,9,September,Q3,2015,No,FY2015-16
20150923,2015-09-23,23,Wednesday,3,39,9,September,Q3,2015,No,FY2015-16
20150924,2015-09-24,24,Thursday,4,39,9,September,Q3,2015,No,FY2015-16
20150925,2015-09-25,25,Friday,5,39,9,September,Q3,2015,No,FY2015-16
20150926,2015-09-26,26,Saturday,6,39,9,September,Q3,2015,Yes,FY2015-16
20150927,2015-09-27,27,Sunday,7,39,9,September,Q3,2015,Yes,FY2015-16
20150928,2015-09-28,28,Monday,1,40,9,September,Q3,2015,No,FY2015-16
20150929,2015-09-29,29,Tuesday,2,40,9,September,Q3,2015,No,FY2015-16
20150930,2015-09-30,30,Wednesday,3,40,9,September,Q3,2015,No,FY2015-16
20151001,2015-10-01,1,Thursday,4,40,10,October,Q4,2015,No,FY2015-16
20151002,2015-10-02,2,Friday,5,40,10,October,Q4,2015,No,FY2015-16
20151003,2015-10-03,3,Saturday,6,40,10,October,Q4,2015,Yes,FY2015-16
20151004,2015-10-04,4,Sunday,7,40,10,October,Q4,2015,Yes,FY2015-16
20151005,2015-10-05,5,Monday,1,41,10,October,Q4,2015,No,FY2015-16
20151006,2015-10-06,6,Tuesday,2,41,10,October,Q4,2015,No,FY2015-16
20151007,2015-10-07,7,Wednesday,3,41,10,October,Q4,2015,No,FY2015-16
20151008,2015-10-08,8,Thursday,4,41,10,October,Q4,2015,No,FY2015-16
20151009,2015-10-09,9,Friday,5,41,10,October,Q4,2015,No,FY2015-16
20151010,2015-10-10,10,Saturday,6,41,10,October,Q4,2015,Yes,FY2015-16
20151011,2015-10-11,11,Sunday,7,41,10,October,Q4,2015,Yes,FY2015-16
20151012,2015-10-12,12,Monday,1,42,10,October,Q4,2015,No,FY2015-16
20151013,2015-10-13,13,Tuesday,2,42,10,October,Q4,2015,No,FY2015-16
20151014,2015-10-14,14,Wednesday,3,42,10,October,Q4,2015,No,FY2015-16
20151015,2015-10-15,15,Thursday,4,42,10,October,Q4,2015,No,FY2015-16
20151016,2015-10-16,16,Friday,5,42,10,October,Q4,2015,No,FY2015-16
20151017,2015-10-17,17,Saturday,6,42,10,October,Q4,2015,Yes,FY2015-16
20151018,2015-10-18,18,Sunday,7,42,10,October,Q4,2015,Yes,FY2015-16
20151019,2015-10-19,19,Monday,1,43,10,October,Q4,2015,No,FY2015-16
20151020,2015-10-20,20,Tuesday,2,43,10,October,Q4,2015,No,FY2015-16
20151021,2015-10-21,21,Wednesday,3,43,10,October,Q4,2015,No,FY2015-16
20151022,2015-10-22,22,Thursday,4,43,10,October,Q4,2015,No,FY2015-16
20151023,2015-10-23,23,Friday,5,43,10,October,Q4,2015,No,FY2015-16
20151024,2015-10-24,24,Saturday,6,43,10,October,Q4,2015,Yes,FY2015-16
20151025,2015-10-25,25,Sunday,7,43,10,October,Q4,2015,Yes,FY2015-16
20151026,2015-10-26,26,Monday,1,44,10,October,Q4,2015,No,FY2015-16
20151027,2015-10-27,27,Tuesday,2,44,10,October,Q4,2015,No,FY2015-16
20151028,2015-10-28,28,Wednesday,3,44,10,October,Q4,2015,No,FY2015-16
20151029,2015-10-29,29,Thursday,4,44,10,October,Q4,2015,No,FY2015-16
20151030,2015-10-30,30,Friday,5,44,10,October,Q4,2015,No,FY2015-16
20151031,2015-10-31,31,Saturday,6,44,10,October,Q4,2015,Yes,FY2015-16
20151101,2015-11-01,1,Sunday,7,44,11,November,Q4,2015,Yes,FY2015-16
20151102,2015-11-02,2,Monday,1,45,11,November,Q4,2015,No,FY2015-16
20151103,2015-11-03,3,Tuesday,2,45,11,November,Q4,2015,No,FY2015-16
20151104,2015-11-04,4,Wednesday,3,45,11,November,Q4,2015,No,FY2015-16
20151105,2015-11-05,5,Thursday,4,45,11,November,Q4,2015,No,FY2015-16
20151106,2015-11-06,6,Friday,5,45,11,November,Q4,2015,No,FY2015-16
20151107,2015-11-07,7,Saturday,6,45,11,November,Q4,2015,Yes,FY2015-16
20151108,2015-11-08,8,Sunday,7,45,11,November,Q4,2015,Yes,FY2015-16
20151109,2015-11-09,9,Monday,1,46,11,November,Q4,2015,No,FY2015-16
20151110,2015-11-10,10,Tuesday,2,46,11,November,Q4,2015,No,FY2015-16
20151111,2015-11-11,11,Wednesday,3,46,11,November,Q4,2015,No,FY2015-16
20151112,2015-11-12,12,Thursday,4,46,11,November,Q4,2015,No,FY2015-16
20151113,2015-11-13,13,Friday,5,46,11,November,Q4,2015,No,FY2015-16
20151114,2015-11-14,14,Saturday,6,46,11,November,Q4,2015,Yes,FY2015-16
20151115,2015-11-15,15,Sunday,7,46,11,November,Q4,2015,Yes,FY2015-16
20151116,2015-11-16,16,Monday,1,47,11,November,Q4,2015,No,FY2015-16
20151117,2015-11-17,17,Tuesday,2,47,11,November,Q4,2015,No,FY2015-16
20151118,2015-11-18,18,Wednesday,3,47,11,November,Q4,2015,No,FY2015-16
20151119,2015-11-19,19,Thursday,4,47,11,November,Q4,2015,No,FY2015-16
20151120,2015-11-20,20,Friday,5,47,11,November,Q4,2015,No,FY2015-16
20151121,2015-11-21,21,Saturday,6,47,11,November,Q4,2015,Yes,FY2015-16
20151122,2015-11-22,22,Sunday,7,47,11,November,Q4,2015,Yes,FY2015-16
