ShipmentID,OrderID,DeliveryPartnerID,ShipmentStatusID,ShipmentDate,EstimatedDeliveryDate,ActualDeliveryDate,TrackingNumber
SHP0000060,ORD0000060,4,1,2021-06-23,2021-06-28,2021-06-30,TRK0000000060
SHP0000061,ORD0000061,8,1,2026-01-04,2026-01-11,2026-01-13,TRK0000000061
SHP0000062,ORD0000062,1,1,2018-10-18,2018-10-24,2018-10-25,TRK0000000062
SHP0000063,ORD0000063,1,3,2025-05-24,2025-05-28,,TRK0000000063
SHP0000064,ORD0000064,10,1,2018-01-14,2018-01-21,2018-01-20,TRK0000000064
SHP0000065,ORD0000065,2,1,2020-05-19,2020-05-21,2020-05-20,TRK0000000065
SHP0000066,ORD0000066,5,1,2023-04-06,2023-04-12,2023-04-11,TRK0000000066
SHP0000067,ORD0000067,4,1,2025-08-19,2025-08-21,2025-08-20,TRK0000000067
SHP0000068,ORD0000068,1,2,2017-09-10,2017-09-17,,TRK0000000068
SHP0000069,ORD0000069,6,1,2025-12-16,2025-12-19,2025-12-21,TRK0000000069
SHP0000070,ORD0000070,5,1,2016-05-21,2016-05-26,2016-05-25,TRK0000000070
SHP0000071,ORD0000071,7,2,2017-10-28,2017-11-03,,TRK0000000071
SHP0000072,ORD0000072,5,1,2020-09-06,2020-09-13,2020-09-14,TRK0000000072
SHP0000073,ORD0000073,8,1,2021-02-25,2021-02-27,2021-02-26,TRK0000000073
SHP0000074,ORD0000074,8,1,2015-04-18,2015-04-21,2015-04-23,TRK0000000074
SHP0000075,ORD0000075,10,1,2025-09-30,2025-10-02,2025-10-03,TRK0000000075
SHP0000076,ORD0000076,2,2,2016-05-19,2016-05-25,,TRK0000000076
SHP0000077,ORD0000077,3,1,2021-07-06,2021-07-08,2021-07-10,TRK0000000077
SHP0000078,ORD0000078,1,1,2019-07-01,2019-07-08,2019-07-10,TRK0000000078
SHP0000079,ORD0000079,9,1,2015-02-10,2015-02-13,2015-02-15,TRK0000000079
SHP0000080,ORD0000080,2,1,2021-01-28,2021-02-01,2021-02-01,TRK0000000080
SHP0000081,ORD0000081,7,1,2023-05-12,2023-05-16,2023-05-16,TRK0000000081
SHP0000082,ORD0000082,1,1,2021-04-22,2021-04-27,2021-04-28,TRK0000000082
SHP0000083,ORD0000083,2,1,2017-07-10,2017-07-12,2017-07-12,TRK0000000083
SHP0000084,ORD0000084,10,2,2024-12-22,2024-12-24,,TRK0000000084
SHP0000085,ORD0000085,10,1,2016-02-21,2016-02-23,2016-02-23,TRK0000000085
SHP0000086,ORD0000086,9,1,2024-09-29,2024-10-01,2024-10-02,TRK0000000086
SHP0000087,ORD0000087,3,1,2022-04-29,2022-05-01,2022-05-02,TRK0000000087
SHP0000088,ORD0000088,3,1,2016-04-02,2016-04-05,2016-04-06,TRK0000000088
SHP0000089,ORD0000089,7,1,2024-01-06,2024-01-09,2024-01-10,TRK0000000089
SHP0000090,ORD0000090,7,1,2015-10-09,2015-10-12,2015-10-12,TRK0000000090
SHP0000091,ORD0000091,9,1,2019-03-30,2019-04-06,2019-04-08,TRK0000000091
SHP0000092,ORD0000092,3,1,2023-08-04,2023-08-10,2023-08-10,TRK0000000092
SHP0000093,ORD0000093,5,5,2018-08-07,2018-08-09,,TRK0000000093
SHP0000094,ORD0000094,7,1,2016-07-17,2016-07-19,2016-07-21,TRK0000000094
SHP0000095,ORD0000095,7,1,2018-11-20,2018-11-25,2018-11-27,TRK0000000095
SHP0000096,ORD0000096,3,4,2019-03-01,2019-03-07,,TRK0000000096
SHP0000097,ORD0000097,10,2,2016-05-03,2016-05-08,,TRK0000000097
SHP0000098,ORD0000098,8,1,2023-07-09,2023-07-15,2023-07-16,TRK0000000098
SHP0000099,ORD0000099,6,4,2023-03-23,2023-03-30,,TRK0000000099
SHP0000100,ORD0000100,1,1,2019-07-14,2019-07-17,2019-07-19,TRK0000000100
SHP0000101,ORD0000101,2,3,2024-04-07,2024-04-11,,TRK0000000101
SHP0000102,ORD0000102,8,1,2024-01-06,2024-01-10,2024-01-09,TRK0000000102
SHP0000103,ORD0000103,8,1,2026-03-22,2026-03-27,2026-03-26,TRK0000000103
SHP0000104,ORD0000104,9,3,2015-06-18,2015-06-25,,TRK0000000104
SHP0000105,ORD0000105,9,1,2018-10-30,2018-11-02,2018-11-02,TRK0000000105
SHP0000106,ORD0000106,7,1,2026-02-27,2026-03-05,2026-03-07,TRK0000000106
SHP0000107,ORD0000107,4,1,2025-04-18,2025-04-25,2025-04-24,TRK0000000107
SHP0000108,ORD0000108,5,1,2020-03-15,2020-03-19,2020-03-20,TRK0000000108
SHP0000109,ORD0000109,3,1,2025-06-05,2025-06-08,2025-06-07,TRK0000000109
SHP0000110,ORD0000110,2,1,2021-08-11,2021-08-16,2021-08-15,TRK0000000110
SHP0000111,ORD0000111,5,1,2026-02-22,2026-02-24,2026-02-24,TRK0000000111
SHP0000112,ORD0000112,4,1,2020-03-25,2020-03-28,2020-03-27,TRK0000000112
SHP0000113,ORD0000113,7,1,2022-02-23,2022-03-02,2022-03-03,TRK0000000113
SHP0000114,ORD0000114,5,1,2020-09-10,2020-09-12,2020-09-14,TRK0000000114
SHP0000115,ORD0000115,1,1,2025-08-08,2025-08-12,2025-08-12,TRK0000000115
SHP0000116,ORD0000116,4,1,2015-07-10,2015-07-13,2015-07-14,TRK0000000116
SHP0000117,ORD0000117,4,1,2020-01-13,2020-01-16,2020-01-15,TRK0000000117
SHP0000118,ORD0000118,7,1,2024-10-20,2024-10-22,2024-10-23,TRK0000000118
SHP0000119,ORD0000119,1,1,2024-02-28,2024-03-03,2024-03-05,TRK0000000119
SHP0000120,ORD0000120,4,1,2017-02-11,2017-02-15,2017-02-15,TRK0000000120
SHP0000121,ORD0000121,9,1,2017-03-30,2017-04-06,2017-04-07,TRK0000000121
SHP0000122,ORD0000122,9,1,2017-01-23,2017-01-26,2017-01-28,TRK0000000122
SHP0000123,ORD0000123,10,1,2018-09-23,2018-09-25,2018-09-24,TRK0000000123
SHP0000124,ORD0000124,1,1,2016-09-07,2016-09-11,2016-09-10,TRK0000000124
SHP0000125,ORD0000125,10,1,2015-03-23,2015-03-29,2015-03-29,TRK0000000125
SHP0000126,ORD0000126,4,1,2015-01-08,2015-01-11,2015-01-12,TRK0000000126
SHP0000127,ORD0000127,10,1,2022-02-24,2022-03-02,2022-03-04,TRK0000000127
SHP0000128,ORD0000128,5,1,2021-09-09,2021-09-12,2021-09-14,TRK0000000128
SHP0000129,ORD0000129,9,1,2021-09-22,2021-09-27,2021-09-28,TRK0000000129
SHP0000130,ORD0000130,7,3,2021-06-26,2021-06-28,,TRK0000000130
SHP0000131,ORD0000131,9,1,2026-01-08,2026-01-10,2026-01-12,TRK0000000131
SHP0000132,ORD0000132,1,1,2024-06-23,2024-06-29,2024-07-01,TRK0000000132
SHP0000133,ORD0000133,1,1,2025-04-20,2025-04-24,2025-04-23,TRK0000000133
SHP0000134,ORD0000134,2,1,2025-12-09,2025-12-13,2025-12-13,TRK0000000134
SHP0000135,ORD0000135,3,1,2017-05-26,2017-06-02,2017-06-03,TRK0000000135
SHP0000136,ORD0000136,1,1,2019-02-25,2019-03-02,2019-03-01,TRK0000000136
SHP0000137,ORD0000137,8,1,2015-08-23,2015-08-29,2015-08-31,TRK0000000137
SHP0000138,ORD0000138,3,1,2019-05-09,2019-05-16,2019-05-15,TRK0000000138
SHP0000139,ORD0000139,9,1,2016-05-01,2016-05-05,2016-05-06,TRK0000000139
SHP0000140,ORD0000140,6,3,2025-07-27,2025-08-03,,TRK0000000140
SHP0000141,ORD0000141,6,3,2019-05-17,2019-05-21,,TRK0000000141
SHP0000142,ORD0000142,3,1,2023-01-18,2023-01-20,2023-01-22,TRK0000000142
SHP0000143,ORD0000143,4,1,2024-12-16,2024-12-18,2024-12-19,TRK0000000143
SHP0000144,ORD0000144,1,1,2026-05-25,2026-05-29,2026-05-29,TRK0000000144
SHP0000145,ORD0000145,5,1,2025-12-25,2025-12-31,2026-01-01,TRK0000000145
SHP0000146,ORD0000146,4,1,2019-11-17,2019-11-23,2019-11-24,TRK0000000146
SHP0000147,ORD0000147,7,2,2022-11-06,2022-11-11,,TRK0000000147
SHP0000148,ORD0000148,10,1,2021-04-25,2021-05-01,2021-05-01,TRK0000000148
SHP0000149,ORD0000149,2,1,2023-05-16,2023-05-19,2023-05-19,TRK0000000149
SHP0000150,ORD0000150,8,1,2026-04-12,2026-04-16,2026-04-15,TRK0000000150
SHP0000151,ORD0000151,2,1,2024-11-30,2024-12-02,2024-12-03,TRK0000000151
SHP0000152,ORD0000152,3,1,2024-01-09,2024-01-14,2024-01-16,TRK0000000152
SHP0000153,ORD0000153,8,1,2017-03-27,2017-03-31,2017-04-02,TRK0000000153
SHP0000154,ORD0000154,8,1,2020-10-19,2020-10-21,2020-10-22,TRK0000000154
SHP0000155,ORD0000155,3,1,2016-08-09,2016-08-12,2016-08-11,TRK0000000155
SHP0000156,ORD0000156,7,1,2017-09-19,2017-09-23,2017-09-22,TRK0000000156
SHP0000157,ORD0000157,8,1,2015-09-02,2015-09-06,2015-09-08,TRK0000000157
SHP0000158,ORD0000158,5,1,2018-06-29,2018-07-03,2018-07-02,TRK0000000158
SHP0000159,ORD0000159,10,1,2017-06-23,2017-06-29,2017-07-01,TRK0000000159
SHP0000160,ORD0000160,7,1,2026-01-14,2026-01-16,2026-01-17,TRK0000000160
SHP0000161,ORD0000161,3,3,2021-05-31,2021-06-05,,TRK0000000161
SHP0000162,ORD0000162,9,1,2019-11-10,2019-11-15,2019-11-16,TRK0000000162
SHP0000163,ORD0000163,3,2,2015-07-03,2015-07-06,,TRK0000000163
SHP0000164,ORD0000164,7,1,2018-01-18,2018-01-24,2018-01-23,TRK0000000164
SHP0000165,ORD0000165,10,1,2017-10-04,2017-10-08,2017-10-08,TRK0000000165
SHP0000166,ORD0000166,1,1,2021-08-08,2021-08-10,2021-08-10,TRK0000000166
SHP0000167,ORD0000167,9,2,2015-04-20,2015-04-22,,TRK0000000167
SHP0000168,ORD0000168,6,2,2015-08-25,2015-08-31,,TRK0000000168
SHP0000169,ORD0000169,2,4,2018-10-01,2018-10-06,,TRK0000000169
SHP0000170,ORD0000170,4,1,2020-01-12,2020-01-15,2020-01-14,TRK0000000170
SHP0000171,ORD0000171,6,1,2024-12-05,2024-12-09,2024-12-08,TRK0000000171
SHP0000172,ORD0000172,2,1,2024-09-04,2024-09-07,2024-09-06,TRK0000000172
SHP0000173,ORD0000173,3,1,2017-03-16,2017-03-21,2017-03-21,TRK0000000173
SHP0000174,ORD0000174,2,1,2018-09-18,2018-09-21,2018-09-20,TRK0000000174
SHP0000175,ORD0000175,9,1,2019-04-17,2019-04-22,2019-04-21,TRK0000000175
SHP0000176,ORD0000176,1,1,2018-12-14,2018-12-18,2018-12-19,TRK0000000176
SHP0000177,ORD0000177,6,1,2018-07-28,2018-08-03,2018-08-03,TRK0000000177
SHP0000178,ORD0000178,7,1,2016-05-30,2016-06-06,2016-06-08,TRK0000000178
SHP0000179,ORD0000179,6,1,2020-05-08,2020-05-14,2020-05-16,TRK0000000179
SHP0000180,ORD0000180,10,1,2018-03-23,2018-03-28,2018-03-27,TRK0000000180
SHP0000181,ORD0000181,2,1,2020-11-26,2020-11-29,2020-11-30,TRK0000000181
SHP0000182,ORD0000182,1,1,2024-03-17,2024-03-19,2024-03-18,TRK0000000182
SHP0000183,ORD0000183,2,2,2017-11-03,2017-11-08,,TRK0000000183
SHP0000184,ORD0000184,7,1,2017-09-14,2017-09-17,2017-09-16,TRK0000000184
SHP0000185,ORD0000185,10,1,2018-12-24,2018-12-30,2018-12-30,TRK0000000185
SHP0000186,ORD0000186,1,1,2020-01-01,2020-01-08,2020-01-09,TRK0000000186
SHP0000187,ORD0000187,3,1,2020-03-15,2020-03-22,2020-03-23,TRK0000000187
SHP0000188,ORD0000188,4,1,2015-12-23,2015-12-30,2015-12-30,TRK0000000188
SHP0000189,ORD0000189,6,1,2019-05-30,2019-06-01,2019-06-02,TRK0000000189
SHP0000190,ORD0000190,10,2,2021-04-19,2021-04-26,,TRK0000000190
SHP0000191,ORD0000191,2,1,2025-04-18,2025-04-24,2025-04-24,TRK0000000191
SHP0000192,ORD0000192,6,1,2019-11-27,2019-12-02,2019-12-04,TRK0000000192
SHP0000193,ORD0000193,1,2,2018-05-23,2018-05-27,,TRK0000000193
SHP0000194,ORD0000194,4,1,2020-12-23,2020-12-30,2020-12-31,TRK0000000194
SHP0000195,ORD0000195,8,1,2020-06-03,2020-06-05,2020-06-06,TRK0000000195
SHP0000196,ORD0000196,2,1,2016-01-18,2016-01-23,2016-01-24,TRK0000000196
SHP0000197,ORD0000197,7,1,2017-01-14,2017-01-20,2017-01-20,TRK0000000197
SHP0000198,ORD0000198,4,1,2019-10-17,2019-10-24,2019-10-25,TRK0000000198
SHP0000199,ORD0000199,2,1,2023-06-25,2023-07-01,2023-07-01,TRK0000000199
SHP0000200,ORD0000200,5,5,2019-10-25,2019-10-31,,TRK0000000200
SHP0000201,ORD0000201,9,1,2022-09-25,2022-09-28,2022-09-30,TRK0000000201
SHP0000202,ORD0000202,7,1,2024-03-23,2024-03-25,2024-03-26,TRK0000000202
SHP0000203,ORD0000203,10,1,2022-09-30,2022-10-07,2022-10-07,TRK0000000203
SHP0000204,ORD0000204,7,1,2018-10-02,2018-10-06,2018-10-06,TRK0000000204
SHP0000205,ORD0000205,3,1,2025-06-26,2025-07-03,2025-07-05,TRK0000000205
SHP0000206,ORD0000206,5,1,2022-08-30,2022-09-03,2022-09-04,TRK0000000206
SHP0000207,ORD0000207,10,1,2017-12-25,2018-01-01,2018-01-02,TRK0000000207
SHP0000208,ORD0000208,10,1,2016-12-09,2016-12-15,2016-12-15,TRK0000000208
SHP0000209,ORD0000209,1,1,2026-05-18,2026-05-21,2026-05-23,TRK0000000209
SHP0000210,ORD0000210,5,1,2025-05-23,2025-05-27,2025-05-28,TRK0000000210
SHP0000211,ORD0000211,4,1,2017-05-26,2017-05-30,2017-06-01,TRK0000000211
SHP0000212,ORD0000212,3,1,2025-10-11,2025-10-17,2025-10-18,TRK0000000212
SHP0000213,ORD0000213,3,1,2018-06-05,2018-06-07,2018-06-06,TRK0000000213
SHP0000214,ORD0000214,2,1,2016-02-28,2016-03-03,2016-03-05,TRK0000000214
SHP0000215,ORD0000215,10,1,2022-08-08,2022-08-12,2022-08-13,TRK0000000215
SHP0000216,ORD0000216,6,1,2018-08-13,2018-08-18,2018-08-19,TRK0000000216
SHP0000217,ORD0000217,7,1,2015-04-29,2015-05-03,2015-05-04,TRK0000000217
SHP0000218,ORD0000218,7,1,2019-06-13,2019-06-18,2019-06-20,TRK0000000218
SHP0000219,ORD0000219,5,1,2020-12-05,2020-12-11,2020-12-13,TRK0000000219
SHP0000220,ORD0000220,2,1,2024-09-15,2024-09-19,2024-09-21,TRK0000000220
SHP0000221,ORD0000221,3,2,2019-05-18,2019-05-22,,TRK0000000221
SHP0000222,ORD0000222,1,2,2026-01-25,2026-01-27,,TRK0000000222
SHP0000223,ORD0000223,6,1,2015-03-07,2015-03-11,2015-03-12,TRK0000000223
SHP0000224,ORD0000224,4,1,2023-06-06,2023-06-13,2023-06-13,TRK0000000224
SHP0000225,ORD0000225,3,1,2024-01-04,2024-01-09,2024-01-09,TRK0000000225
SHP0000226,ORD0000226,6,2,2024-10-26,2024-11-01,,TRK0000000226
SHP0000227,ORD0000227,1,1,2015-07-01,2015-07-05,2015-07-07,TRK0000000227
SHP0000228,ORD0000228,8,1,2019-03-26,2019-04-02,2019-04-02,TRK0000000228
SHP0000229,ORD0000229,3,1,2016-11-25,2016-11-29,2016-11-29,TRK0000000229
SHP0000230,ORD0000230,9,1,2024-12-31,2025-01-07,2025-01-08,TRK0000000230
SHP0000231,ORD0000231,6,2,2020-11-30,2020-12-07,,TRK0000000231
SHP0000232,ORD0000232,6,1,2022-12-09,2022-12-11,2022-12-13,TRK0000000232
SHP0000233,ORD0000233,7,3,2017-03-21,2017-03-26,,TRK0000000233
SHP0000234,ORD0000234,4,1,2016-03-08,2016-03-12,2016-03-11,TRK0000000234
SHP0000235,ORD0000235,4,1,2019-07-04,2019-07-10,2019-07-11,TRK0000000235
SHP0000236,ORD0000236,2,1,2025-08-02,2025-08-07,2025-08-07,TRK0000000236
SHP0000237,ORD0000237,7,1,2018-11-17,2018-11-23,2018-11-22,TRK0000000237
SHP0000238,ORD0000238,1,1,2022-08-11,2022-08-18,2022-08-19,TRK0000000238
SHP0000239,ORD0000239,10,1,2015-08-26,2015-08-29,2015-08-28,TRK0000000239
SHP0000240,ORD0000240,4,3,2018-12-31,2019-01-04,,TRK0000000240
SHP0000241,ORD0000241,10,1,2021-03-29,2021-04-05,2021-04-04,TRK0000000241
SHP0000242,ORD0000242,8,1,2024-07-03,2024-07-06,2024-07-07,TRK0000000242
SHP0000243,ORD0000243,1,1,2020-10-20,2020-10-25,2020-10-24,TRK0000000243
SHP0000244,ORD0000244,10,1,2016-04-09,2016-04-14,2016-04-13,TRK0000000244
SHP0000245,ORD0000245,3,1,2026-02-05,2026-02-08,2026-02-10,TRK0000000245
SHP0000246,ORD0000246,5,2,2022-02-03,2022-02-10,,TRK0000000246
SHP0000247,ORD0000247,8,1,2017-05-04,2017-05-08,2017-05-10,TRK0000000247
SHP0000248,ORD0000248,6,1,2022-02-22,2022-02-28,2022-03-02,TRK0000000248
SHP0000249,ORD0000249,10,2,2018-05-31,2018-06-06,,TRK0000000249
SHP0000250,ORD0000250,10,1,2015-02-06,2015-02-13,2015-02-14,TRK0000000250
SHP0000251,ORD0000251,7,1,2015-10-27,2015-10-30,2015-10-30,TRK0000000251
SHP0000252,ORD0000252,7,1,2017-05-17,2017-05-21,2017-05-21,TRK0000000252
SHP0000253,ORD0000253,9,1,2021-05-30,2021-06-03,2021-06-04,TRK0000000253
SHP0000254,ORD0000254,6,1,2017-03-02,2017-03-09,2017-03-10,TRK0000000254
SHP0000255,ORD0000255,9,1,2020-08-17,2020-08-24,2020-08-23,TRK0000000255
SHP0000256,ORD0000256,9,1,2024-11-08,2024-11-15,2024-11-15,TRK0000000256
SHP0000257,ORD0000257,9,1,2025-12-03,2025-12-06,2025-12-05,TRK0000000257
SHP0000258,ORD0000258,4,1,2015-01-25,2015-01-29,2015-01-28,TRK0000000258
SHP0000259,ORD0000259,10,1,2020-10-03,2020-10-08,2020-10-09,TRK0000000259
SHP0000260,ORD0000260,8,1,2024-12-07,2024-12-13,2024-12-13,TRK0000000260
SHP0000261,ORD0000261,4,2,2021-01-22,2021-01-28,,TRK0000000261
SHP0000262,ORD0000262,10,1,2024-02-19,2024-02-21,2024-02-20,TRK0000000262
SHP0000263,ORD0000263,1,1,2015-11-06,2015-11-13,2015-11-13,TRK0000000263
SHP0000264,ORD0000264,8,1,2023-02-22,2023-02-25,2023-02-24,TRK0000000264
SHP0000265,ORD0000265,10,1,2020-09-26,2020-09-30,2020-09-29,TRK0000000265
SHP0000266,ORD0000266,7,1,2016-11-06,2016-11-10,2016-11-11,TRK0000000266
SHP0000267,ORD0000267,2,1,2023-11-18,2023-11-21,2023-11-21,TRK0000000267
SHP0000268,ORD0000268,9,1,2021-10-19,2021-10-25,2021-10-24,TRK0000000268
SHP0000269,ORD0000269,6,3,2026-03-16,2026-03-18,,TRK0000000269
SHP0000270,ORD0000270,10,1,2020-10-06,2020-10-12,2020-10-13,TRK0000000270
SHP0000271,ORD0000271,5,1,2024-11-21,2024-11-24,2024-11-26,TRK0000000271
SHP0000272,ORD0000272,4,1,2017-09-02,2017-09-07,2017-09-09,TRK0000000272
SHP0000273,ORD0000273,4,1,2023-02-05,2023-02-07,2023-02-09,TRK0000000273
SHP0000274,ORD0000274,9,1,2018-02-10,2018-02-16,2018-02-17,TRK0000000274
SHP0000275,ORD0000275,7,1,2017-09-22,2017-09-29,2017-09-30,TRK0000000275
SHP0000276,ORD0000276,4,1,2025-08-21,2025-08-25,2025-08-24,TRK0000000276
SHP0000277,ORD0000277,7,1,2017-07-08,2017-07-12,2017-07-13,TRK0000000277
SHP0000278,ORD0000278,10,1,2022-06-24,2022-06-27,2022-06-28,TRK0000000278
SHP0000279,ORD0000279,10,1,2017-03-12,2017-03-14,2017-03-15,TRK0000000279
SHP0000280,ORD0000280,6,1,2016-01-15,2016-01-17,2016-01-16,TRK0000000280
SHP0000281,ORD0000281,9,1,2026-04-07,2026-04-14,2026-04-16,TRK0000000281
SHP0000282,ORD0000282,7,1,2015-02-15,2015-02-19,2015-02-18,TRK0000000282
SHP0000283,ORD0000283,10,2,2019-09-23,2019-09-27,,TRK0000000283
SHP0000284,ORD0000284,9,1,2023-11-19,2023-11-24,2023-11-23,TRK0000000284
SHP0000285,ORD0000285,9,1,2022-09-06,2022-09-12,2022-09-11,TRK0000000285
SHP0000286,ORD0000286,10,1,2019-09-13,2019-09-17,2019-09-16,TRK0000000286
SHP0000287,ORD0000287,4,1,2018-07-04,2018-07-10,2018-07-09,TRK0000000287
SHP0000288,ORD0000288,10,1,2023-10-06,2023-10-08,2023-10-09,TRK0000000288
SHP0000289,ORD0000289,10,1,2015-08-06,2015-08-10,2015-08-09,TRK0000000289
SHP0000290,ORD0000290,9,1,2020-05-15,2020-05-22,2020-05-23,TRK0000000290
SHP0000291,ORD0000291,2,1,2018-08-03,2018-08-05,2018-08-05,TRK0000000291
SHP0000292,ORD0000292,9,1,2017-05-05,2017-05-11,2017-05-10,TRK0000000292
SHP0000293,ORD0000293,5,1,2024-07-23,2024-07-26,2024-07-25,TRK0000000293
SHP0000294,ORD0000294,7,1,2017-06-02,2017-06-05,2017-06-04,TRK0000000294
SHP0000295,ORD0000295,1,1,2021-05-22,2021-05-28,2021-05-29,TRK0000000295
SHP0000296,ORD0000296,10,1,2024-05-05,2024-05-12,2024-05-14,TRK0000000296
SHP0000297,ORD0000297,1,1,2019-11-09,2019-11-15,2019-11-17,TRK0000000297
SHP0000298,ORD0000298,1,1,2020-04-09,2020-04-15,2020-04-15,TRK0000000298
SHP0000299,ORD0000299,4,1,2024-02-09,2024-02-13,2024-02-14,TRK0000000299
SHP0000300,ORD0000300,8,1,2022-05-26,2022-05-29,2022-05-31,TRK0000000300
