ReturnID,OrderItemID,ReturnReasonID,ReturnDate,ReturnCondition
RET0000225,OI00003295,18,2021-03-07,Damaged
RET0000226,OI00003328,10,2016-05-05,Opened
RET0000227,OI00003352,9,2021-08-30,Defective
RET0000228,OI00003374,6,2021-09-21,Sealed
RET0000229,OI00003402,7,2019-02-27,Sealed
RET0000230,OI00003424,17,2016-08-04,Opened
RET0000231,OI00003435,8,2022-09-17,Opened
RET0000232,OI00003441,5,2023-09-24,Opened
RET0000233,OI00003472,8,2019-12-23,Damaged
RET0000234,OI00003475,16,2020-05-04,Sealed
RET0000235,OI00003478,15,2020-02-22,Sealed
RET0000236,OI00003510,8,2023-01-04,Opened
RET0000237,OI00003516,18,2026-04-04,Opened
RET0000238,OI00003533,16,2015-10-05,Opened
RET0000239,OI00003546,17,2024-01-01,Opened
RET0000240,OI00003553,11,2023-02-26,Sealed
RET0000241,OI00003561,7,2017-01-04,Opened
RET0000242,OI00003572,9,2018-06-25,Damaged
RET0000243,OI00003582,16,2018-08-09,Damaged
RET0000244,OI00003615,15,2016-05-25,Opened
RET0000245,OI00003657,6,2019-02-06,Sealed
RET0000246,OI00003667,12,2015-07-26,Opened
RET0000247,OI00003676,15,2016-08-05,Sealed
RET0000248,OI00003678,6,2023-05-12,Opened
RET0000249,OI00003688,15,2018-12-04,Damaged
RET0000250,OI00003690,4,2021-01-31,Damaged
RET0000251,OI00003700,9,2021-06-16,Opened
RET0000252,OI00003716,4,2023-12-13,Damaged
RET0000253,OI00003734,1,2026-07-03,Sealed
RET0000254,OI00003735,18,2026-02-20,Defective
RET0000255,OI00003747,12,2018-09-17,Damaged
RET0000256,OI00003749,3,2018-09-19,Opened
RET0000257,OI00003779,2,2017-04-09,Opened
RET0000258,OI00003787,14,2020-11-05,Damaged
RET0000259,OI00003792,3,2019-11-01,Sealed
RET0000260,OI00003793,17,2024-04-22,Damaged
RET0000261,OI00003848,16,2022-02-05,Damaged
RET0000262,OI00003866,3,2023-12-05,Sealed
RET0000263,OI00003882,9,2024-01-11,Sealed
RET0000264,OI00003889,15,2021-09-03,Opened
RET0000265,OI00003890,8,2021-09-02,Opened
RET0000266,OI00003914,5,2016-03-15,Opened
RET0000267,OI00003940,8,2015-04-24,Sealed
RET0000268,OI00003958,12,2022-02-08,Damaged
RET0000269,OI00003987,15,2024-09-28,Opened
RET0000270,OI00004006,13,2015-07-10,Opened
RET0000271,OI00004009,8,2017-09-15,Defective
RET0000272,OI00004030,5,2018-04-25,Sealed
RET0000273,OI00004031,12,2023-02-04,Opened
RET0000274,OI00004046,12,2019-11-26,Defective
RET0000275,OI00004054,6,2020-09-08,Damaged
RET0000276,OI00004055,4,2020-12-10,Sealed
RET0000277,OI00004058,1,2025-12-22,Sealed
RET0000278,OI00004074,1,2021-07-23,Sealed
RET0000279,OI00004075,2,2021-07-26,Defective
RET0000280,OI00004104,1,2020-01-05,Opened
RET0000281,OI00004118,9,2016-07-09,Damaged
RET0000282,OI00004124,16,2020-06-10,Sealed
RET0000283,OI00004136,8,2020-09-13,Opened
RET0000284,OI00004137,13,2020-09-06,Damaged
RET0000285,OI00004138,3,2020-09-02,Damaged
RET0000286,OI00004142,4,2017-01-10,Opened
RET0000287,OI00004156,2,2016-11-05,Sealed
RET0000288,OI00004200,15,2026-04-30,Defective
RET0000289,OI00004226,12,2020-04-09,Damaged
RET0000290,OI00004235,10,2019-04-05,Opened
RET0000291,OI00004250,12,2024-01-15,Sealed
RET0000292,OI00004262,10,2025-11-04,Defective
RET0000293,OI00004267,7,2021-11-04,Opened
RET0000294,OI00004278,1,2021-11-18,Opened
RET0000295,OI00004284,8,2018-06-01,Damaged
RET0000296,OI00004286,17,2015-12-01,Damaged
RET0000297,OI00004292,13,2017-02-06,Opened
RET0000298,OI00004304,2,2026-06-20,Damaged
RET0000299,OI00004322,11,2018-07-15,Opened
RET0000300,OI00004333,18,2017-04-27,Opened
RET0000301,OI00004405,4,2021-01-12,Damaged
RET0000302,OI00004414,7,2025-05-11,Opened
RET0000303,OI00004419,3,2020-09-26,Sealed
RET0000304,OI00004431,17,2026-04-06,Opened
RET0000305,OI00004440,1,2024-01-07,Defective
RET0000306,OI00004485,8,2023-09-12,Damaged
RET0000307,OI00004488,5,2025-08-18,Sealed
RET0000308,OI00004505,7,2025-11-26,Damaged
RET0000309,OI00004508,6,2017-07-30,Opened
RET0000310,OI00004515,12,2018-11-24,Sealed
RET0000311,OI00004540,1,2026-02-28,Opened
RET0000312,OI00004550,11,2018-08-22,Opened
RET0000313,OI00004579,13,2021-06-11,Opened
RET0000314,OI00004583,8,2017-05-13,Opened
RET0000315,OI00004605,16,2021-12-26,Damaged
RET0000316,OI00004612,10,2023-07-17,Sealed
RET0000317,OI00004613,6,2023-07-28,Opened
RET0000318,OI00004621,14,2021-06-22,Sealed
RET0000319,OI00004631,2,2019-08-26,Opened
RET0000320,OI00004647,8,2016-10-16,Opened
RET0000321,OI00004648,12,2016-10-09,Opened
RET0000322,OI00004685,15,2016-07-07,Damaged
RET0000323,OI00004689,18,2026-01-22,Defective
RET0000324,OI00004696,14,2019-06-02,Opened
RET0000325,OI00004712,5,2017-10-28,Opened
RET0000326,OI00004718,2,2019-08-29,Opened
RET0000327,OI00004745,6,2023-07-21,Sealed
RET0000328,OI00004770,16,2017-08-22,Opened
RET0000329,OI00004791,18,2021-10-19,Sealed
RET0000330,OI00004816,1,2019-01-15,Sealed
RET0000331,OI00004818,13,2024-08-21,Opened
RET0000332,OI00004842,7,2017-04-13,Opened
RET0000333,OI00004861,15,2016-10-08,Opened
RET0000334,OI00004877,1,2026-07-30,Sealed
RET0000335,OI00004879,14,2026-08-06,Opened
RET0000336,OI00004917,6,2015-10-14,Defective
RET0000337,OI00004919,3,2015-10-15,Opened
RET0000338,OI00004932,14,2016-09-24,Opened
RET0000339,OI00004933,11,2016-09-19,Defective
RET0000340,OI00004934,10,2017-11-11,Sealed
RET0000341,OI00004951,2,2026-08-09,Opened
RET0000342,OI00005020,16,2024-11-03,Sealed
RET0000343,OI00005026,10,2018-03-31,Sealed
RET0000344,OI00005028,13,2017-04-27,Opened
RET0000345,OI00005042,5,2026-04-24,Sealed
RET0000346,OI00005104,14,2022-05-17,Damaged
RET0000347,OI00005134,8,2021-12-14,Sealed
RET0000348,OI00005137,11,2018-05-23,Opened
RET0000349,OI00005147,12,2024-07-03,Opened
RET0000350,OI00005179,13,2015-11-28,Opened
RET0000351,OI00005180,4,2015-12-09,Opened
RET0000352,OI00005183,9,2016-07-03,Opened
RET0000353,OI00005201,14,2022-08-18,Sealed
RET0000354,OI00005204,16,2015-11-18,Opened
RET0000355,OI00005262,17,2017-03-30,Defective
RET0000356,OI00005294,15,2021-06-04,Damaged
RET0000357,OI00005347,10,2015-05-26,Damaged
RET0000358,OI00005350,16,2025-01-08,Damaged
RET0000359,OI00005359,17,2023-01-22,Sealed
RET0000360,OI00005363,5,2017-10-07,Opened
RET0000361,OI00005364,11,2017-10-02,Sealed
RET0000362,OI00005384,6,2020-03-02,Opened
RET0000363,OI00005401,17,2021-12-08,Sealed
RET0000364,OI00005426,6,2023-12-07,Defective
RET0000365,OI00005429,4,2023-02-04,Defective
RET0000366,OI00005431,15,2015-12-26,Defective
RET0000367,OI00005440,6,2019-03-22,Damaged
RET0000368,OI00005450,5,2026-01-06,Damaged
RET0000369,OI00005457,17,2017-10-11,Damaged
RET0000370,OI00005465,6,2025-11-20,Sealed
RET0000371,OI00005476,13,2020-12-06,Defective
RET0000372,OI00005498,7,2018-08-04,Damaged
RET0000373,OI00005519,2,2015-04-25,Defective
RET0000374,OI00005523,17,2023-04-10,Opened
RET0000375,OI00005558,18,2022-09-20,Damaged
RET0000376,OI00005564,6,2023-12-21,Opened
RET0000377,OI00005568,9,2026-05-13,Defective
RET0000378,OI00005598,8,2021-12-14,Damaged
RET0000379,OI00005615,6,2017-10-01,Sealed
RET0000380,OI00005625,8,2021-02-23,Opened
RET0000381,OI00005633,18,2017-11-28,Opened
RET0000382,OI00005638,15,2018-07-15,Sealed
RET0000383,OI00005641,2,2022-11-18,Sealed
RET0000384,OI00005651,18,2017-07-02,Sealed
RET0000385,OI00005653,1,2022-11-18,Damaged
RET0000386,OI00005677,14,2021-01-05,Sealed
RET0000387,OI00005705,4,2023-06-26,Defective
RET0000388,OI00005719,11,2015-05-19,Sealed
RET0000389,OI00005723,5,2019-02-04,Defective
RET0000390,OI00005724,17,2021-07-05,Opened
RET0000391,OI00005727,3,2015-06-10,Opened
RET0000392,OI00005747,9,2019-11-10,Opened
RET0000393,OI00005751,16,2021-01-12,Opened
RET0000394,OI00005807,10,2016-11-13,Damaged
RET0000395,OI00005846,11,2024-04-06,Damaged
RET0000396,OI00005849,12,2020-02-11,Damaged
RET0000397,OI00005869,12,2019-04-21,Sealed
RET0000398,OI00005883,7,2021-11-20,Sealed
RET0000399,OI00005887,3,2020-05-07,Defective
RET0000400,OI00005906,6,2022-02-03,Sealed
RET0000401,OI00005910,1,2016-03-24,Sealed
RET0000402,OI00005932,3,2019-11-10,Sealed
RET0000403,OI00005936,9,2016-12-02,Opened
RET0000404,OI00005937,18,2023-06-01,Opened
RET0000405,OI00005942,2,2015-06-25,Damaged
RET0000406,OI00005952,14,2023-11-08,Defective
RET0000407,OI00005998,12,2020-07-01,Sealed
RET0000408,OI00006007,10,2019-01-22,Sealed
RET0000409,OI00006017,2,2026-02-05,Opened
RET0000410,OI00006024,2,2017-02-26,Damaged
RET0000411,OI00006031,3,2023-09-05,Opened
RET0000412,OI00006044,7,2020-09-02,Damaged
RET0000413,OI00006062,16,2018-04-28,Defective
RET0000414,OI00006064,8,2016-11-16,Damaged
RET0000415,OI00006086,16,2021-04-07,Sealed
RET0000416,OI00006110,9,2025-08-23,Opened
RET0000417,OI00006118,5,2025-09-16,Sealed
RET0000418,OI00006122,17,2017-09-18,Defective
RET0000419,OI00006150,6,2017-10-05,Sealed
RET0000420,OI00006169,7,2024-02-03,Opened
RET0000421,OI00006204,9,2015-09-10,Opened
RET0000422,OI00006215,11,2016-01-15,Opened
RET0000423,OI00006217,8,2022-05-29,Sealed
RET0000424,OI00006232,14,2019-10-18,Damaged
RET0000425,OI00006259,15,2015-06-10,Sealed
RET0000426,OI00006271,12,2015-08-03,Damaged
RET0000427,OI00006285,3,2025-03-28,Sealed
RET0000428,OI00006309,12,2021-10-29,Opened
RET0000429,OI00006314,18,2020-10-19,Opened
RET0000430,OI00006380,14,2019-10-21,Sealed
RET0000431,OI00006381,7,2024-05-02,Damaged
RET0000432,OI00006393,11,2024-07-29,Opened
RET0000433,OI00006395,14,2025-02-06,Defective
RET0000434,OI00006402,2,2023-11-15,Sealed
RET0000435,OI00006404,9,2020-01-27,Damaged
RET0000436,OI00006416,3,2016-09-09,Sealed
RET0000437,OI00006427,2,2018-07-27,Opened
RET0000438,OI00006443,11,2017-05-14,Damaged
RET0000439,OI00006446,1,2024-02-12,Sealed
RET0000440,OI00006490,1,2025-11-18,Sealed
RET0000441,OI00006496,11,2018-01-07,Opened
RET0000442,OI00006501,3,2019-06-21,Damaged
RET0000443,OI00006530,2,2024-02-19,Sealed
RET0000444,OI00006558,5,2016-12-17,Opened
RET0000445,OI00006588,15,2019-05-19,Damaged
RET0000446,OI00006611,16,2019-10-29,Opened
RET0000447,OI00006613,7,2022-04-17,Damaged
RET0000448,OI00006618,11,2020-06-28,Opened
RET0000449,OI00006620,4,2020-06-30,Opened
RET0000450,OI00006630,3,2021-08-26,Sealed
RET0000451,OI00006648,18,2020-07-15,Opened
RET0000452,OI00006651,16,2025-09-17,Defective
RET0000453,OI00006659,1,2025-08-21,Sealed
RET0000454,OI00006665,7,2025-01-04,Defective
RET0000455,OI00006667,17,2018-12-22,Opened
RET0000456,OI00006668,8,2016-08-17,Opened
RET0000457,OI00006675,15,2022-03-08,Sealed
RET0000458,OI00006676,18,2022-03-04,Defective
RET0000459,OI00006682,17,2025-12-30,Opened
RET0000460,OI00006710,1,2018-05-07,Opened
RET0000461,OI00006725,13,2025-12-30,Defective
RET0000462,OI00006743,5,2016-11-10,Damaged
RET0000463,OI00006746,3,2026-04-21,Defective
RET0000464,OI00006760,1,2021-04-08,Damaged
RET0000465,OI00006816,5,2023-06-01,Sealed
RET0000466,OI00006838,9,2018-11-23,Opened
RET0000467,OI00006854,10,2021-05-02,Sealed
RET0000468,OI00006855,11,2021-05-04,Damaged
RET0000469,OI00006886,17,2020-05-10,Opened
RET0000470,OI00006894,9,2021-04-15,Defective
RET0000471,OI00006902,5,2016-09-09,Opened
RET0000472,OI00006909,5,2022-09-18,Damaged
RET0000473,OI00006914,3,2019-02-26,Defective
RET0000474,OI00006935,6,2019-10-06,Opened
RET0000475,OI00006945,12,2015-12-02,Damaged
RET0000476,OI00006948,17,2018-01-25,Opened
RET0000477,OI00006951,18,2016-08-27,Opened
RET0000478,OI00006970,14,2020-11-08,Defective
RET0000479,OI00006973,13,2024-08-21,Defective
RET0000480,OI00006994,1,2017-06-22,Damaged
RET0000481,OI00007031,4,2019-08-26,Defective
RET0000482,OI00007044,8,2015-10-29,Opened
RET0000483,OI00007055,14,2015-01-15,Sealed
RET0000484,OI00007076,18,2021-05-02,Sealed
RET0000485,OI00007082,10,2023-05-15,Opened
RET0000486,OI00007088,11,2024-06-20,Sealed
RET0000487,OI00007110,16,2026-07-09,Damaged
RET0000488,OI00007132,17,2025-06-25,Opened
RET0000489,OI00007137,15,2020-03-04,Sealed
RET0000490,OI00007156,7,2025-03-02,Damaged
RET0000491,OI00007178,7,2016-07-30,Sealed
RET0000492,OI00007182,8,2021-10-27,Opened
RET0000493,OI00007186,9,2016-01-06,Defective
RET0000494,OI00007191,14,2024-11-07,Sealed
RET0000495,OI00007211,13,2019-10-29,Opened
RET0000496,OI00007230,6,2016-04-15,Defective
RET0000497,OI00007231,5,2023-10-02,Sealed
RET0000498,OI00007237,9,2023-09-11,Opened
RET0000499,OI00007242,15,2022-12-21,Damaged
RET0000500,OI00007258,15,2020-09-21,Opened
RET0000501,OI00007268,12,2019-08-16,Sealed
RET0000502,OI00007321,18,2023-01-12,Opened
RET0000503,OI00007374,17,2019-10-20,Damaged
RET0000504,OI00007387,4,2025-08-21,Opened
RET0000505,OI00007395,2,2016-09-13,Damaged
RET0000506,OI00007414,16,2019-09-03,Sealed
RET0000507,OI00007450,2,2024-01-24,Opened
RET0000508,OI00007457,13,2023-02-17,Opened
RET0000509,OI00007460,1,2016-11-23,Defective
RET0000510,OI00007462,18,2016-04-30,Opened
RET0000511,OI00007476,9,2017-08-12,Sealed
RET0000512,OI00007490,5,2022-06-09,Opened
RET0000513,OI00007503,8,2021-10-17,Opened
RET0000514,OI00007514,17,2018-06-16,Opened
RET0000515,OI00007515,14,2018-04-10,Opened
RET0000516,OI00007539,17,2021-09-02,Opened
RET0000517,OI00007545,14,2021-04-25,Defective
RET0000518,OI00007551,15,2019-06-08,Damaged
RET0000519,OI00007554,16,2019-05-19,Sealed
RET0000520,OI00007568,13,2019-06-18,Opened
RET0000521,OI00007615,11,2018-04-26,Opened
RET0000522,OI00007624,11,2021-08-06,Sealed
RET0000523,OI00007633,6,2019-01-04,Sealed
RET0000524,OI00007634,16,2021-04-02,Opened
RET0000525,OI00007638,1,2026-06-08,Damaged
RET0000526,OI00007643,11,2023-12-02,Sealed
RET0000527,OI00007645,17,2023-12-11,Opened
RET0000528,OI00007664,8,2020-06-06,Defective
RET0000529,OI00007686,17,2016-05-19,Opened
RET0000530,OI00007703,7,2017-03-17,Opened
RET0000531,OI00007705,16,2017-03-18,Defective
RET0000532,OI00007746,1,2016-02-26,Sealed
RET0000533,OI00007753,6,2021-02-18,Damaged
RET0000534,OI00007761,16,2022-05-31,Sealed
RET0000535,OI00007766,15,2015-11-22,Damaged
RET0000536,OI00007777,8,2019-07-19,Sealed
RET0000537,OI00007802,1,2017-11-30,Opened
RET0000538,OI00007806,11,2023-05-09,Damaged
RET0000539,OI00007811,5,2017-08-02,Sealed
RET0000540,OI00007843,9,2017-04-20,Defective
RET0000541,OI00007849,18,2025-08-23,Sealed
RET0000542,OI00007857,5,2019-06-04,Sealed
RET0000543,OI00007902,4,2021-10-13,Opened
RET0000544,OI00007915,12,2022-11-28,Opened
RET0000545,OI00007942,6,2023-12-27,Opened
RET0000546,OI00007961,5,2022-10-08,Defective
