OrderItemID,OrderID,LineNumber,ProductID,Quantity,UnitPrice,DiscountPercent
OI00000038,ORD0000020,3,P03202,1,515,0
OI00000039,ORD0000021,1,P02255,4,926,20
OI00000040,ORD0000022,1,P03645,2,2686,25
OI00000041,ORD0000022,2,P01274,1,9069,10
OI00000042,ORD0000023,1,P04025,4,5602,10
OI00000043,ORD0000024,1,P02196,4,520,10
OI00000044,ORD0000025,1,P02433,1,5662,5
OI00000045,ORD0000025,2,P04395,3,163,10
OI00000046,ORD0000026,1,P01640,2,3762,0
OI00000047,ORD0000026,2,P01210,4,4808,20
OI00000048,ORD0000027,1,P04920,3,9506,0
OI00000049,ORD0000027,2,P00935,2,7908,10
OI00000050,ORD0000028,1,P04836,1,934,5
OI00000051,ORD0000029,1,P03967,2,111,5
OI00000052,ORD0000029,2,P03118,2,54937,0
OI00000053,ORD0000030,1,P02207,1,6003,0
OI00000054,ORD0000030,2,P04325,1,4836,0
OI00000055,ORD0000030,3,P04572,1,2593,0
OI00000056,ORD0000030,4,P00176,3,21209,10
OI00000057,ORD0000031,1,P03115,4,12501,5
OI00000058,ORD0000031,2,P03480,4,4181,5
OI00000059,ORD0000031,3,P04568,1,10622,10
OI00000060,ORD0000032,1,P02813,2,2460,0
OI00000061,ORD0000032,2,P00418,1,138943,15
OI00000062,ORD0000032,3,P01569,2,179319,5
OI00000063,ORD0000033,1,P00846,2,14283,5
OI00000064,ORD0000033,2,P04188,2,423,5
OI00000065,ORD0000034,1,P02797,3,68075,0
OI00000066,ORD0000034,2,P03852,2,153026,0
OI00000067,ORD0000034,3,P03553,3,141145,10
OI00000068,ORD0000034,4,P01862,2,7878,0
OI00000069,ORD0000034,5,P03112,1,160161,10
OI00000070,ORD0000035,1,P00558,1,7479,10
OI00000071,ORD0000035,2,P02833,5,87204,0
OI00000072,ORD0000035,3,P03382,2,10851,0
OI00000073,ORD0000036,1,P04933,1,1016,20
OI00000074,ORD0000037,1,P02143,1,1770,20
OI00000075,ORD0000038,1,P02501,2,7526,0
OI00000076,ORD0000039,1,P01918,1,1294,0
OI00000077,ORD0000039,2,P01077,1,8354,0
OI00000078,ORD0000039,3,P01507,5,8022,10
OI00000079,ORD0000040,1,P00796,3,154887,0
OI00000080,ORD0000040,2,P00769,2,14399,0
OI00000081,ORD0000040,3,P01755,2,15436,5
OI00000082,ORD0000040,4,P00985,2,92,5
OI00000083,ORD0000041,1,P00721,1,9937,25
OI00000084,ORD0000042,1,P02307,3,2504,20
OI00000085,ORD0000043,1,P01947,1,10120,0
OI00000086,ORD0000043,2,P01226,2,11132,20
OI00000087,ORD0000044,1,P02365,2,14426,15
OI00000088,ORD0000044,2,P01893,3,197648,0
OI00000089,ORD0000044,3,P02259,4,1330,10
OI00000090,ORD0000045,1,P00375,1,698,0
OI00000091,ORD0000046,1,P04631,3,159793,25
OI00000092,ORD0000046,2,P02768,4,9147,0
OI00000093,ORD0000047,1,P00763,1,1207,0
OI00000094,ORD0000048,1,P02507,1,1938,0
OI00000095,ORD0000048,2,P01438,2,1117,5
OI00000096,ORD0000049,1,P02962,1,3458,15
OI00000097,ORD0000050,1,P01543,1,1360,20
OI00000098,ORD0000050,2,P01419,1,1729,15
OI00000099,ORD0000051,1,P02627,2,5485,0
OI00000100,ORD0000051,2,P02265,3,90570,0
OI00000101,ORD0000051,3,P00747,3,1641,5
OI00000102,ORD0000051,4,P00569,3,11883,0
OI00000103,ORD0000051,5,P00871,5,14799,5
OI00000104,ORD0000052,1,P01546,2,891,20
OI00000105,ORD0000052,2,P03458,2,1894,5
OI00000106,ORD0000053,1,P04465,2,194277,5
OI00000107,ORD0000053,2,P04395,3,163,0
OI00000108,ORD0000053,3,P00725,1,170557,0
OI00000109,ORD0000053,4,P03939,2,66170,0
OI00000110,ORD0000054,1,P00074,3,3260,5
OI00000111,ORD0000054,2,P03086,4,8136,0
OI00000112,ORD0000055,1,P02028,2,1089,15
OI00000113,ORD0000055,2,P02576,2,30584,0
OI00000114,ORD0000056,1,P04846,4,191078,0
OI00000115,ORD0000057,1,P03309,5,1150,5
OI00000116,ORD0000058,1,P01102,1,108321,0
OI00000117,ORD0000058,2,P02401,1,127738,15
OI00000118,ORD0000059,1,P02374,3,1049,0
OI00000119,ORD0000059,2,P00264,3,13082,5
OI00000120,ORD0000060,1,P04336,1,179180,0
OI00000121,ORD0000060,2,P04745,1,1171,10
OI00000122,ORD0000061,1,P02216,1,83377,0
OI00000123,ORD0000061,2,P04118,1,12920,15
OI00000124,ORD0000061,3,P01633,2,47630,25
OI00000125,ORD0000062,1,P00641,1,7336,0
OI00000126,ORD0000063,1,P03487,2,104918,10
OI00000127,ORD0000063,2,P03073,1,81706,5
OI00000128,ORD0000064,1,P01132,2,101761,20
OI00000129,ORD0000064,2,P03852,1,153026,0
OI00000130,ORD0000064,3,P00355,2,135,0
OI00000131,ORD0000065,1,P04801,1,559,15
OI00000132,ORD0000065,2,P00016,2,108,20
OI00000133,ORD0000066,1,P00430,1,3267,0
OI00000134,ORD0000066,2,P00060,2,708,10
OI00000135,ORD0000066,3,P01057,4,1605,20
OI00000136,ORD0000066,4,P01253,1,146093,0
OI00000137,ORD0000067,1,P01268,2,1655,0
OI00000138,ORD0000068,1,P01126,1,1426,0
OI00000139,ORD0000068,2,P04348,1,155666,0
OI00000140,ORD0000068,3,P03247,1,6915,0
OI00000141,ORD0000068,4,P00107,2,6134,5
OI00000142,ORD0000069,1,P03088,2,1426,0
OI00000143,ORD0000070,1,P00788,3,9546,0
OI00000144,ORD0000071,1,P00411,1,1409,5
OI00000145,ORD0000071,2,P03383,2,1977,10
OI00000146,ORD0000072,1,P02053,1,112819,5
OI00000147,ORD0000072,2,P04905,5,1316,15
OI00000148,ORD0000073,1,P00846,1,14283,15
OI00000149,ORD0000074,1,P02654,3,1254,0
OI00000150,ORD0000074,2,P03921,3,13104,5
OI00000151,ORD0000075,1,P02701,1,13594,0
OI00000152,ORD0000076,1,P03480,1,4181,10
OI00000153,ORD0000076,2,P02097,2,1429,0
OI00000154,ORD0000076,3,P02348,3,1794,5
OI00000155,ORD0000077,1,P00402,2,36341,0
OI00000156,ORD0000077,2,P01429,2,138404,5
OI00000157,ORD0000078,1,P03378,1,9460,0
OI00000158,ORD0000079,1,P01360,3,10082,5
OI00000159,ORD0000079,2,P01469,1,30165,5
OI00000160,ORD0000080,1,P00486,3,13826,0
OI00000161,ORD0000080,2,P00579,3,1251,10
OI00000162,ORD0000081,1,P03564,3,550,5
OI00000163,ORD0000082,1,P02455,1,1394,15
OI00000164,ORD0000083,1,P04946,2,13417,5
OI00000165,ORD0000084,1,P01608,1,2873,0
OI00000166,ORD0000085,1,P00458,1,1456,5
OI00000167,ORD0000086,1,P02767,1,6899,0
OI00000168,ORD0000086,2,P04043,1,211,0
OI00000169,ORD0000087,1,P04586,3,1443,0
OI00000170,ORD0000087,2,P04450,4,1606,0
OI00000171,ORD0000087,3,P04668,1,1557,0
OI00000172,ORD0000087,4,P02378,1,1864,0
OI00000173,ORD0000087,5,P00726,3,39625,0
OI00000174,ORD0000088,1,P02564,4,13898,10
OI00000175,ORD0000088,2,P03131,2,8074,15
OI00000176,ORD0000088,3,P02143,1,1770,0
OI00000177,ORD0000088,4,P03043,4,70918,0
OI00000178,ORD0000089,1,P04307,2,5615,0
OI00000179,ORD0000089,2,P02185,1,156063,0
OI00000180,ORD0000089,3,P03738,1,122265,5
OI00000181,ORD0000089,4,P03308,1,50961,25
OI00000182,ORD0000090,1,P01525,1,169267,0
OI00000183,ORD0000091,1,P02725,1,1793,0
OI00000184,ORD0000091,2,P00355,3,135,0
OI00000185,ORD0000091,3,P04890,2,10738,0
OI00000186,ORD0000091,4,P03042,3,1887,20
OI00000187,ORD0000091,5,P03264,2,6055,0
OI00000188,ORD0000092,1,P00292,4,5690,5
OI00000189,ORD0000093,1,P02671,4,765,0
OI00000190,ORD0000094,1,P02977,2,164365,5
OI00000191,ORD0000094,2,P02900,1,131395,5
OI00000192,ORD0000095,1,P00930,1,1013,20
OI00000193,ORD0000096,1,P03477,4,12595,20
OI00000194,ORD0000097,1,P04446,2,15611,10
OI00000195,ORD0000097,2,P01846,1,685,15
OI00000196,ORD0000098,1,P03017,2,183725,0
OI00000197,ORD0000098,2,P03709,1,188522,5
OI00000198,ORD0000099,1,P00595,3,80018,15
OI00000199,ORD0000100,1,P01860,4,3303,0
OI00000200,ORD0000100,2,P01170,4,90572,5
OI00000201,ORD0000100,3,P01409,2,171254,10
OI00000202,ORD0000101,1,P01373,1,1893,0
OI00000203,ORD0000101,2,P00234,2,148465,10
OI00000204,ORD0000102,1,P00889,2,8601,0
OI00000205,ORD0000102,2,P01369,2,1115,10
OI00000206,ORD0000103,1,P03796,3,6778,0
OI00000207,ORD0000103,2,P04161,3,149744,10
OI00000208,ORD0000104,1,P04892,1,411,15
OI00000209,ORD0000105,1,P04871,2,9895,0
OI00000210,ORD0000106,1,P00444,3,34978,0
OI00000211,ORD0000106,2,P03989,2,9710,10
OI00000212,ORD0000106,3,P03134,4,137027,0
OI00000213,ORD0000107,1,P00063,2,10671,0
OI00000214,ORD0000107,2,P00984,1,1298,0
OI00000215,ORD0000108,1,P02685,1,11623,0
OI00000216,ORD0000108,2,P01616,2,129540,10
OI00000217,ORD0000108,3,P01498,1,496,0
OI00000218,ORD0000109,1,P03733,1,13708,0
OI00000219,ORD0000109,2,P03490,2,23832,5
OI00000220,ORD0000110,1,P00428,1,6100,5
OI00000221,ORD0000110,2,P01821,1,176075,5
OI00000222,ORD0000110,3,P04113,2,55,5
OI00000223,ORD0000111,1,P04464,3,11464,25
OI00000224,ORD0000112,1,P02366,1,498,0
OI00000225,ORD0000113,1,P01477,2,1839,0
OI00000226,ORD0000114,1,P01603,1,136116,15
OI00000227,ORD0000114,2,P01436,4,340,0
OI00000228,ORD0000114,3,P04551,1,77523,10
OI00000229,ORD0000115,1,P02338,1,46,0
OI00000230,ORD0000115,2,P03107,1,203,0
OI00000231,ORD0000116,1,P02194,1,497,0
OI00000232,ORD0000117,1,P00383,5,85109,0
OI00000233,ORD0000118,1,P01972,2,100369,0
OI00000234,ORD0000119,1,P04683,3,169280,0
OI00000235,ORD0000119,2,P00524,2,4659,15
OI00000236,ORD0000120,1,P02565,5,132975,0
OI00000237,ORD0000120,2,P04927,4,5297,5
OI00000238,ORD0000120,3,P02885,1,110408,0
OI00000239,ORD0000121,1,P02256,1,2956,5
OI00000240,ORD0000122,1,P03074,4,2128,0
OI00000241,ORD0000123,1,P02061,1,622,0
OI00000242,ORD0000123,2,P00225,3,782,15
OI00000243,ORD0000124,1,P00751,2,26,0
OI00000244,ORD0000124,2,P00252,1,613,0
OI00000245,ORD0000124,3,P01353,2,851,0
OI00000246,ORD0000125,1,P00073,2,111617,5
OI00000247,ORD0000126,1,P03763,2,53411,0
OI00000248,ORD0000126,2,P02414,2,7779,0
OI00000249,ORD0000127,1,P03111,1,174323,0
OI00000250,ORD0000127,2,P02792,1,14366,10
OI00000251,ORD0000128,1,P03877,2,110976,5
OI00000252,ORD0000128,2,P03195,5,437,15
OI00000253,ORD0000128,3,P04966,3,1178,0
OI00000254,ORD0000129,1,P02093,2,197,0
OI00000255,ORD0000129,2,P01682,4,5938,5
OI00000256,ORD0000130,1,P04037,3,8641,15
OI00000257,ORD0000130,2,P01768,1,1375,10
OI00000258,ORD0000130,3,P02759,1,176342,10
OI00000259,ORD0000131,1,P02529,1,64090,5
OI00000260,ORD0000132,1,P00225,1,782,15
OI00000261,ORD0000132,2,P02384,1,1450,10
OI00000262,ORD0000132,3,P00158,4,1820,10
OI00000263,ORD0000133,1,P01125,2,185261,0
OI00000264,ORD0000133,2,P04010,1,12259,0
OI00000265,ORD0000134,1,P04426,4,108639,5
OI00000266,ORD0000135,1,P01475,3,36074,20
OI00000267,ORD0000136,1,P01038,3,58468,0
OI00000268,ORD0000137,1,P02651,3,713,5
OI00000269,ORD0000138,1,P02685,2,11623,10
OI00000270,ORD0000138,2,P00961,1,10488,10
OI00000271,ORD0000139,1,P00262,3,178654,5
OI00000272,ORD0000139,2,P01227,1,454,0
OI00000273,ORD0000140,1,P01100,3,2754,20
OI00000274,ORD0000141,1,P00242,2,637,10
OI00000275,ORD0000142,1,P04451,2,1276,0
OI00000276,ORD0000142,2,P04283,4,9114,15
OI00000277,ORD0000143,1,P00939,1,7959,5
OI00000278,ORD0000144,1,P02978,1,1477,0
OI00000279,ORD0000144,2,P03915,1,1592,0
OI00000280,ORD0000144,3,P00935,2,7908,20
OI00000281,ORD0000145,1,P03865,2,13624,5
OI00000282,ORD0000145,2,P01339,3,10681,0
OI00000283,ORD0000145,3,P03460,1,11822,0
OI00000284,ORD0000146,1,P01003,2,505,0
OI00000285,ORD0000146,2,P03252,1,178435,0
OI00000286,ORD0000147,1,P01281,3,1091,10
OI00000287,ORD0000148,1,P01956,1,68442,0
OI00000288,ORD0000148,2,P00433,1,1455,10
OI00000289,ORD0000149,1,P03010,5,229,20
OI00000290,ORD0000149,2,P00219,2,1074,20
OI00000291,ORD0000149,3,P03893,1,293,0
OI00000292,ORD0000150,1,P02823,1,124420,0
OI00000293,ORD0000150,2,P00564,1,1621,5
OI00000294,ORD0000151,1,P02156,3,1860,10
OI00000295,ORD0000152,1,P00253,1,14795,20
OI00000296,ORD0000153,1,P01589,3,18379,15
OI00000297,ORD0000153,2,P01929,4,221,5
OI00000298,ORD0000153,3,P03951,2,888,0
OI00000299,ORD0000154,1,P04585,1,7739,20
OI00000300,ORD0000155,1,P01293,2,1958,15
OI00000301,ORD0000155,2,P00595,1,80018,5
OI00000302,ORD0000155,3,P04438,1,9238,0
OI00000303,ORD0000156,1,P03990,1,1495,0
OI00000304,ORD0000157,1,P04407,1,140330,20
OI00000305,ORD0000157,2,P00720,4,659,0
OI00000306,ORD0000158,1,P02441,2,27557,5
OI00000307,ORD0000158,2,P01023,1,72,0
OI00000308,ORD0000158,3,P00121,5,2880,5
OI00000309,ORD0000159,1,P03099,2,132221,10
OI00000310,ORD0000160,1,P01257,3,3066,0
OI00000311,ORD0000160,2,P04390,5,1973,5
OI00000312,ORD0000160,3,P02408,1,12000,25
OI00000313,ORD0000161,1,P00291,3,136353,0
OI00000314,ORD0000161,2,P00350,4,80545,0
OI00000315,ORD0000162,1,P01466,2,162767,20
OI00000316,ORD0000163,1,P02243,1,530,15
OI00000317,ORD0000164,1,P03369,1,1608,0
OI00000318,ORD0000165,1,P01415,1,3202,10
OI00000319,ORD0000165,2,P01785,3,3564,5
OI00000320,ORD0000166,1,P04487,1,12044,0
OI00000321,ORD0000166,2,P01267,1,12626,0
OI00000322,ORD0000167,1,P00531,5,6620,0
OI00000323,ORD0000168,1,P03161,4,94590,0
OI00000324,ORD0000168,2,P00056,1,1533,10
OI00000325,ORD0000169,1,P02410,3,34693,5
OI00000326,ORD0000170,1,P04785,1,95937,0
OI00000327,ORD0000170,2,P03946,2,1722,25
OI00000328,ORD0000170,3,P00701,1,546,0
OI00000329,ORD0000171,1,P02872,2,33300,0
OI00000330,ORD0000172,1,P04291,4,678,10
OI00000331,ORD0000172,2,P04943,2,644,0
OI00000332,ORD0000172,3,P02983,3,8585,0
OI00000333,ORD0000173,1,P00478,3,1145,15
OI00000334,ORD0000173,2,P01152,3,1491,0
OI00000335,ORD0000173,3,P02099,1,787,15
OI00000336,ORD0000173,4,P00480,2,10929,10
OI00000337,ORD0000174,1,P02440,1,3048,10
OI00000338,ORD0000174,2,P01257,2,3066,5
OI00000339,ORD0000175,1,P03817,1,36,0
OI00000340,ORD0000175,2,P00183,1,10337,10
OI00000341,ORD0000176,1,P04134,3,10119,20
OI00000342,ORD0000176,2,P00175,1,89052,0
OI00000343,ORD0000177,1,P02252,1,3941,20
OI00000344,ORD0000177,2,P01529,1,1166,20
OI00000345,ORD0000177,3,P03608,1,125110,0
OI00000346,ORD0000178,1,P01645,1,114655,15
OI00000347,ORD0000179,1,P01978,2,1647,20
OI00000348,ORD0000180,1,P03999,1,663,5
OI00000349,ORD0000180,2,P00895,1,12522,0
OI00000350,ORD0000180,3,P03341,3,433,10
OI00000351,ORD0000181,1,P02929,2,1229,0
OI00000352,ORD0000182,1,P04448,1,6831,0
OI00000353,ORD0000183,1,P03839,1,1976,0
OI00000354,ORD0000183,2,P04656,4,2416,10
OI00000355,ORD0000184,1,P01100,1,2754,0
OI00000356,ORD0000184,2,P04787,1,56456,5
OI00000357,ORD0000185,1,P01851,3,176037,5
OI00000358,ORD0000185,2,P02955,5,1104,0
OI00000359,ORD0000186,1,P00001,1,139629,10
OI00000360,ORD0000187,1,P02676,5,10698,5
OI00000361,ORD0000188,1,P04745,1,1171,0
OI00000362,ORD0000188,2,P01760,3,551,0
OI00000363,ORD0000188,3,P02571,3,837,0
OI00000364,ORD0000189,1,P02013,2,188332,0
OI00000365,ORD0000190,1,P01884,3,55,20
OI00000366,ORD0000190,2,P04793,2,183287,0
OI00000367,ORD0000191,1,P00967,1,1099,20
OI00000368,ORD0000191,2,P04248,3,407,10
OI00000369,ORD0000192,1,P04508,1,53354,0
OI00000370,ORD0000192,2,P04493,1,109903,0
OI00000371,ORD0000193,1,P00305,1,3023,25
OI00000372,ORD0000193,2,P02879,3,13352,15
OI00000373,ORD0000194,1,P02996,1,448,0
OI00000374,ORD0000195,1,P01969,2,764,25
OI00000375,ORD0000196,1,P01514,1,1216,0
OI00000376,ORD0000196,2,P03759,1,12998,5
OI00000377,ORD0000197,1,P02794,1,1095,0
OI00000378,ORD0000197,2,P01607,4,1255,20
OI00000379,ORD0000198,1,P00156,5,8242,0
OI00000380,ORD0000199,1,P02385,1,1749,25
OI00000381,ORD0000199,2,P04662,1,125973,15
OI00000382,ORD0000200,1,P02860,3,426,0
OI00000383,ORD0000201,1,P02969,1,89833,0
OI00000384,ORD0000202,1,P01309,2,401,0
OI00000385,ORD0000203,1,P01975,2,1204,5
OI00000386,ORD0000204,1,P02706,1,96978,10
OI00000387,ORD0000205,1,P02980,1,55243,5
OI00000388,ORD0000205,2,P04253,2,774,0
OI00000389,ORD0000205,3,P01446,3,4404,0
OI00000390,ORD0000205,4,P01268,2,1655,20
OI00000391,ORD0000206,1,P00279,4,175,0
OI00000392,ORD0000206,2,P02629,4,8501,5
OI00000393,ORD0000207,1,P04136,3,1696,5
OI00000394,ORD0000208,1,P02575,4,101670,10
OI00000395,ORD0000208,2,P02680,1,7570,0
OI00000396,ORD0000209,1,P04881,2,1802,20
OI00000397,ORD0000210,1,P01535,1,29,5
OI00000398,ORD0000210,2,P00262,2,178654,0
OI00000399,ORD0000211,1,P00772,2,12937,0
OI00000400,ORD0000212,1,P00271,1,1904,20
OI00000401,ORD0000213,1,P00397,1,1211,0
OI00000402,ORD0000214,1,P04331,2,114237,5
OI00000403,ORD0000214,2,P04449,3,12134,5
OI00000404,ORD0000215,1,P04474,3,81542,0
OI00000405,ORD0000216,1,P02939,1,365,10
OI00000406,ORD0000216,2,P04134,2,10119,5
OI00000407,ORD0000216,3,P02397,1,61597,10
OI00000408,ORD0000216,4,P00998,1,40648,10
OI00000409,ORD0000217,1,P02721,2,76848,5
OI00000410,ORD0000217,2,P03883,2,811,5
OI00000411,ORD0000218,1,P02091,1,1274,0
OI00000412,ORD0000219,1,P04283,1,9114,0
OI00000413,ORD0000219,2,P03261,1,10143,5
OI00000414,ORD0000219,3,P01842,1,1754,0
OI00000415,ORD0000219,4,P02783,1,123490,0
OI00000416,ORD0000220,1,P03807,1,1579,0
OI00000417,ORD0000220,2,P02011,3,1133,0
OI00000418,ORD0000221,1,P00504,1,2282,0
OI00000419,ORD0000221,2,P01396,1,125468,0
OI00000420,ORD0000222,1,P03418,2,37810,5
OI00000421,ORD0000223,1,P01431,1,1183,0
OI00000422,ORD0000223,2,P03648,1,4738,15
OI00000423,ORD0000223,3,P01428,4,46434,0
OI00000424,ORD0000223,4,P00937,4,11410,0
OI00000425,ORD0000224,1,P03081,2,14760,10
OI00000426,ORD0000224,2,P01913,1,22118,0
OI00000427,ORD0000225,1,P04330,2,176655,10
OI00000428,ORD0000226,1,P02745,2,185281,5
OI00000429,ORD0000226,2,P01141,1,1469,0
OI00000430,ORD0000227,1,P02979,2,76470,0
OI00000431,ORD0000228,1,P03150,1,10526,5
OI00000432,ORD0000228,2,P01828,2,109404,10
OI00000433,ORD0000228,3,P01881,2,2063,0
OI00000434,ORD0000228,4,P03752,2,915,0
OI00000435,ORD0000229,1,P02693,1,991,5
OI00000436,ORD0000229,2,P04235,3,1161,0
OI00000437,ORD0000230,1,P01426,2,425,0
OI00000438,ORD0000230,2,P04908,1,39216,10
OI00000439,ORD0000230,3,P00217,1,45458,0
OI00000440,ORD0000230,4,P00347,2,1214,0
OI00000441,ORD0000231,1,P03138,2,9568,0
OI00000442,ORD0000232,1,P03365,1,690,0
OI00000443,ORD0000232,2,P04013,2,1001,5
OI00000444,ORD0000232,3,P04581,1,7057,5
OI00000445,ORD0000233,1,P02492,3,11991,0
OI00000446,ORD0000234,1,P04684,1,8795,15
OI00000447,ORD0000234,2,P00829,1,14300,0
OI00000448,ORD0000235,1,P00265,3,1539,0
OI00000449,ORD0000235,2,P03663,4,1640,15
OI00000450,ORD0000236,1,P01448,2,7505,20
OI00000451,ORD0000236,2,P02439,1,64053,5
OI00000452,ORD0000236,3,P00079,3,195636,0
OI00000453,ORD0000236,4,P01648,1,1339,10
OI00000454,ORD0000236,5,P03891,1,1329,0
OI00000455,ORD0000237,1,P03623,1,2861,0
OI00000456,ORD0000238,1,P00247,1,6588,5
OI00000457,ORD0000238,2,P02676,3,10698,0
OI00000458,ORD0000238,3,P01470,1,1245,0
OI00000459,ORD0000239,1,P01565,1,223,10
OI00000460,ORD0000240,1,P01110,4,8909,0
OI00000461,ORD0000240,2,P01785,2,3564,0
OI00000462,ORD0000240,3,P01443,5,28410,0
OI00000463,ORD0000241,1,P00049,2,2671,10
OI00000464,ORD0000242,1,P02938,1,178196,0
OI00000465,ORD0000243,1,P00722,1,9543,10
OI00000466,ORD0000244,1,P00363,2,1210,0
OI00000467,ORD0000244,2,P00857,2,1366,10
OI00000468,ORD0000244,3,P03384,4,1441,20
OI00000469,ORD0000245,1,P04535,1,1301,0
OI00000470,ORD0000245,2,P00937,3,11410,5
OI00000471,ORD0000246,1,P01772,2,158595,0
OI00000472,ORD0000246,2,P04812,1,23734,0
OI00000473,ORD0000246,3,P01624,1,1501,5
OI00000474,ORD0000247,1,P01316,2,122057,0
OI00000475,ORD0000247,2,P00948,3,12476,0
OI00000476,ORD0000248,1,P03699,2,51596,10
OI00000477,ORD0000249,1,P03132,1,175307,15
OI00000478,ORD0000250,1,P04206,5,6119,10
OI00000479,ORD0000250,2,P00685,1,695,0
OI00000480,ORD0000250,3,P00976,2,25896,5
OI00000481,ORD0000250,4,P02955,2,1104,10
OI00000482,ORD0000251,1,P01852,1,34629,0
OI00000483,ORD0000252,1,P03381,1,14417,20
OI00000484,ORD0000252,2,P00849,2,101298,0
OI00000485,ORD0000253,1,P02830,2,12779,5
OI00000486,ORD0000253,2,P03911,2,803,5
OI00000487,ORD0000253,3,P04836,1,934,10
OI00000488,ORD0000253,4,P04306,1,124336,0
OI00000489,ORD0000254,1,P04477,2,1489,0
OI00000490,ORD0000255,1,P02925,1,105928,0
OI00000491,ORD0000255,2,P02091,3,1274,0
OI00000492,ORD0000255,3,P00640,1,3904,0
OI00000493,ORD0000255,4,P01873,3,157779,15
OI00000494,ORD0000256,1,P01237,4,14980,5
OI00000495,ORD0000256,2,P02568,3,1123,0
OI00000496,ORD0000257,1,P02532,1,9753,15
OI00000497,ORD0000258,1,P02193,1,702,10
OI00000498,ORD0000259,1,P01750,1,858,5
OI00000499,ORD0000259,2,P04388,2,997,10
OI00000500,ORD0000260,1,P03148,2,18790,0
OI00000501,ORD0000261,1,P01157,1,20485,5
OI00000502,ORD0000262,1,P02864,1,960,20
OI00000503,ORD0000263,1,P04224,1,6008,0
OI00000504,ORD0000263,2,P00316,3,521,0
OI00000505,ORD0000263,3,P04001,2,746,10
OI00000506,ORD0000263,4,P02987,5,5672,5
OI00000507,ORD0000263,5,P04245,3,972,0
OI00000508,ORD0000264,1,P04613,1,1517,0
OI00000509,ORD0000265,1,P04657,1,3751,0
OI00000510,ORD0000265,2,P00718,3,14779,5
OI00000511,ORD0000266,1,P04812,1,23734,15
OI00000512,ORD0000267,1,P00315,1,880,0
OI00000513,ORD0000268,1,P00183,2,10337,0
OI00000514,ORD0000269,1,P03795,2,5557,5
OI00000515,ORD0000269,2,P02491,1,44,0
OI00000516,ORD0000270,1,P00826,4,150364,0
OI00000517,ORD0000271,1,P02265,4,90570,0
OI00000518,ORD0000272,1,P03957,4,174755,15
OI00000519,ORD0000273,1,P02738,1,139005,0
OI00000520,ORD0000274,1,P01717,1,74,0
OI00000521,ORD0000275,1,P04117,1,3745,15
OI00000522,ORD0000276,1,P01462,1,3303,0
OI00000523,ORD0000276,2,P02488,1,6865,20
OI00000524,ORD0000276,3,P04755,3,171,10
OI00000525,ORD0000277,1,P02520,1,10010,0
OI00000526,ORD0000278,1,P00691,2,5818,15
OI00000527,ORD0000278,2,P00095,1,37966,0
OI00000528,ORD0000278,3,P04076,1,343,0
OI00000529,ORD0000279,1,P00103,2,891,15
OI00000530,ORD0000279,2,P03124,4,1895,0
OI00000531,ORD0000280,1,P02769,1,744,10
OI00000532,ORD0000281,1,P03688,2,70447,0
OI00000533,ORD0000281,2,P00003,2,1305,5
OI00000534,ORD0000281,3,P04125,1,4348,0
OI00000535,ORD0000282,1,P04866,1,11039,0
OI00000536,ORD0000282,2,P02462,2,171146,0
OI00000537,ORD0000282,3,P00477,1,3203,25
OI00000538,ORD0000283,1,P04887,1,13331,10
OI00000539,ORD0000283,2,P04844,2,1128,0
