CityID,City,RegionID,Tier,IsCapital,MarketType
C071,Imphal,15,Tier-2,Yes,Urban
C072,Shillong,16,Tier-2,Yes,Urban
C073,Aizawl,17,Tier-2,Yes,Urban
C074,Kohima,18,Tier-2,Yes,Urban
C075,Bhubaneswar,19,Tier-1,Yes,Metro
C076,Cuttack,19,Tier-1,No,Metro
C077,Rourkela,19,Tier-2,No,Urban
C078,Sambalpur,19,Tier-2,No,Urban
C079,Puri,19,Tier-2,No,Urban
C080,Ludhiana,20,Tier-1,No,Metro
C081,Amritsar,20,Tier-1,No,Metro
C082,Jalandhar,20,Tier-2,No,Urban
C083,Patiala,20,Tier-2,No,Urban
C084,Chandigarh (Punjab Capital),20,Tier-2,Yes,Urban
C085,Jaipur,21,Tier-1,Yes,Metro
C086,Jodhpur,21,Tier-2,No,Urban
C087,Udaipur,21,Tier-2,No,Urban
C088,Kota,21,Tier-2,No,Urban
C089,Ajmer,21,Tier-2,No,Urban
C090,Gangtok,22,Tier-2,Yes,Urban
C091,Chennai,23,Tier-1,Yes,Metro
C092,Coimbatore,23,Tier-1,No,Metro
C093,Madurai,23,Tier-2,No,Urban
C094,Salem,23,Tier-2,No,Urban
C095,Tiruchirappalli,23,Tier-2,No,Urban
C096,Hyderabad,24,Tier-1,Yes,Metro
C097,Warangal,24,Tier-2,No,Urban
C098,Karimnagar,24,Tier-2,No,Urban
C099,Khammam,24,Tier-2,No,Urban
C100,Nizamabad,24,Tier-2,No,Urban
C101,Agartala,25,Tier-1,Yes,Urban
C102,Lucknow,26,Tier-1,Yes,Metro
C103,Kanpur,26,Tier-2,No,Urban
C104,Varanasi,26,Tier-2,No,Urban
C105,Agra,26,Tier-2,No,Urban
C106,Prayagraj,26,Tier-2,No,Urban
C107,Dehradun,27,Tier-1,Yes,Urban
C108,Haridwar,27,Tier-2,No,Urban
C109,Haldwani,27,Tier-2,No,Urban
C110,Roorkee,27,Tier-2,No,Urban
C111,Nainital,27,Tier-2,No,Urban
C112,Kolkata,28,Tier-1,Yes,Metro
C113,Howrah,28,Tier-2,No,Urban
C114,Siliguri,28,Tier-2,No,Urban
C115,Durgapur,28,Tier-2,No,Urban
C116,Asansol,28,Tier-2,No,Urban
C117,New Delhi,29,Tier-1,Yes,Metro
C118,Srinagar,30,Tier-1,Yes,Urban
C119,Jammu,30,Tier-2,No,Urban
C120,Leh,31,Tier-1,Yes,Urban
C121,Kargil,31,Tier-2,No,Urban
C122,Chandigarh,32,Tier-1,Yes,Urban
C123,Daman,33,Tier-1,Yes,Urban
C124,Diu,33,Tier-2,No,Urban
C125,Silvassa,33,Tier-2,No,Urban
C126,Kavaratti,34,Tier-1,Yes,Urban
C127,Puducherry,35,Tier-1,Yes,Urban
C128,Karaikal,35,Tier-2,No,Urban
C129,Port Blair,36,Tier-1,Yes,Urban
